target_N,angle_deg,T0_in_N,T0_out_N,T1_in_N,T1_out_N,T2_in_N,T2_out_N
20,0,25,17.5,18.5,13.8,24,18.4
20,30,17.5,10.2,20,14,24,15.5
20,60,24.5,14.1,20,13.8,20,11.2
20,90,23.9,10.8,22.3,12.5,24,14.6
20,120,25,11.5,23.8,12.1,25,11.8
37.5,0,37.5,28.2,37.5,33,37.5,27.5
37.5,30,37.5,28,37.5,31.4,37.5,28
37.5,60,40,28.1,35,24.2,37.5,25.1
37.5,90,37.5,23,40,26.6,40,25.2
37.5,120,40,23.1,40,24.5,40,22
55,0,55,50.4,50,43.4,50,44.2
55,30,55,45,55,44.6,55,42.5
55,60,54.2,38.4,57.5,40,55,39.6
55,90,55.1,37.2,59.2,41.2,55,38
55,120,55,35.2,60,37,60,36.5
