mode,cond,sample,notes,creep_csv,creep_end_min_used,h0_mm,inst_disp_mm,creep_add_mm,h_start_load_mm,h_end_load_mm,R30,res30_mm,inst_strain,creep_add_strain,res30_strain
Compression,A,n0,MP_tate,submit/MP_tate/dist_n0.csv,119.6472290714167,37.5,25.1,3.9383904830299823,12.399999999999999,8.461609516970016,0.8037081289566969,5.699999999999999,0.6693333333333333,0.10502374621413287,0.15199999999999997
Compression,A,n1,MP_tate,submit/MP_tate/dist_n1.csv,120.0,37.5,26.5,2.590068955788328,11.0,8.409931044211671,0.9553112094036021,1.2999999999999972,0.7066666666666667,0.06906850548768875,0.03466666666666659
Compression,A,n2,MP_tate,submit/MP_tate/dist_n2.csv,120.0,37.5,25.9,3.025338815806451,11.600000000000001,8.57466118419355,0.9585138826673223,1.2000000000000028,0.6906666666666667,0.0806757017548387,0.03200000000000008
Compression,B,n0,MP_yoko,submit/MP_yoko/dist_n0.csv,120.0,37.5,23.0,3.2900697042571725,14.5,11.209930295742828,0.8744773202535242,3.299999999999997,0.6133333333333333,0.0877351921135246,0.08799999999999993
Compression,B,n1,MP_yoko,submit/MP_yoko/dist_n1.csv,120.0,37.5,24.0,2.445113039393522,13.5,11.054886960606478,0.8865574900159776,3.0,0.64,0.06520301438382725,0.08
Compression,B,n2,MP_yoko,submit/MP_yoko/dist_n2.csv,120.0,37.5,24.5,2.997944926326034,13.0,10.002055073673965,0.9272672919609627,2.0,0.6533333333333333,0.0799451980353609,0.05333333333333334
Tensile,A,n0,MT_tate,submit/MT_tate/dist_n0.csv,120.0,37.5,11.1,7.8637318017335,48.6,56.4637318017335,0.7732513808486298,-4.299999999999997,0.296,0.20969951471289333,-0.1146666666666666
Tensile,A,n1,MT_tate,submit/MT_tate/dist_n1.csv,120.0,37.5,11.3,8.695038612585181,48.8,57.49503861258518,0.9049764275621799,-1.8999999999999986,0.30133333333333334,0.23186769633560483,-0.05066666666666663
Tensile,A,n2,MT_tate,submit/MT_tate/dist_n2.csv,120.0,37.5,11.9,6.253976042005062,49.4,55.65397604200506,0.906356602208436,-1.7000000000000028,0.31733333333333336,0.16677269445346832,-0.045333333333333406
Tensile,B,n0,MT_yoko,submit/MT_yoko/dist_n0.csv,118.1474639217499,37.5,9.0,3.78888772550944,46.5,50.28888772550944,0.8045177928168563,-2.5,0.24,0.10103700601358506,-0.06666666666666667
Tensile,B,n1,MT_yoko,submit/MT_yoko/dist_n1.csv,120.0,37.5,9.2,7.04979567465366,46.7,53.74979567465366,0.8769215293506989,-2.0,0.24533333333333332,0.1879945513240976,-0.05333333333333334
Tensile,B,n2,MT_yoko,submit/MT_yoko/dist_n2.csv,115.33315940511675,37.5,9.6,6.245096789563222,47.1,53.34509678956322,0.9684444969544561,-0.5,0.256,0.16653591438835258,-0.013333333333333334
