cycle,step_index,angle_deg,measured,force_mean,force_std,n_samples,t_measure_start_unix,t_measure_end_unix
1,0,0,False,,,,,
1,1,15,True,10.876923,0.505238,182,1770969191.658787,1770969193.669338
1,2,30,True,23.471823,0.610311,181,1770969196.770670,1770969198.776415
1,3,0,False,,,,,
1,4,-15,True,21.534254,0.337372,181,1770969206.933978,1770969208.935039
1,5,-30,True,27.736813,0.365073,182,1770969212.036623,1770969214.043336
5,0,0,False,,,,,
5,1,15,True,10.493956,0.631858,182,1770969235.289325,1770969237.296876
5,2,30,True,23.666298,0.373158,181,1770969240.397981,1770969242.399263
5,3,0,False,,,,,
5,4,-15,True,19.734807,0.210696,181,1770969250.556146,1770969252.558683
5,5,-30,True,24.972928,0.960374,181,1770969255.660349,1770969257.664726
10,0,0,False,,,,,
10,1,15,True,9.307143,0.501493,182,1770969273.399611,1770969275.402596
10,2,30,True,23.279670,0.690563,182,1770969278.504071,1770969280.508085
10,3,0,False,,,,,
10,4,-15,True,19.587363,0.184794,182,1770969288.663954,1770969290.666722
10,5,-30,True,28.516484,0.291790,182,1770969293.768309,1770969295.777382
15,0,0,False,,,,,
15,1,15,True,9.762637,0.977442,182,1770969312.134864,1770969314.135637
15,2,30,True,23.783516,0.568368,182,1770969317.237266,1770969319.238649
15,3,0,False,,,,,
15,4,-15,True,17.555495,0.229695,182,1770969327.395376,1770969329.400175
15,5,-30,True,25.534066,0.637107,182,1770969332.501625,1770969334.503564
20,0,0,False,,,,,
20,1,15,True,8.424725,0.380162,182,1770969350.245652,1770969352.252837
20,2,30,True,22.827473,1.050763,182,1770969355.353765,1770969357.361903
20,3,0,False,,,,,
20,4,-15,True,15.177901,0.186958,181,1770969365.519156,1770969367.527417
20,5,-30,True,23.151934,0.431353,181,1770969370.628607,1770969372.629649
40,0,0,False,,,,,
40,1,15,True,8.246961,0.134801,181,1770969396.396129,1770969398.401248
40,2,30,True,24.959116,0.714833,181,1770969401.502676,1770969403.502996
40,3,0,False,,,,,
40,4,-15,True,17.151648,0.417004,182,1770969411.657822,1770969413.662920
40,5,-30,True,26.074725,0.278152,182,1770969416.764379,1770969418.767624
60,0,0,False,,,,,
60,1,15,True,8.454396,0.380255,182,1770969445.066387,1770969447.075434
60,2,30,True,27.045856,0.425894,181,1770969450.177030,1770969452.177526
60,3,0,False,,,,,
60,4,-15,True,17.386813,0.214506,182,1770969460.334762,1770969462.338942
60,5,-30,True,24.491209,0.820881,182,1770969465.440637,1770969467.450735
80,0,0,False,,,,,
80,1,15,True,8.478571,0.162957,182,1770969507.802472,1770969509.807546
80,2,30,True,22.219780,0.370223,182,1770969512.908824,1770969514.914978
80,3,0,False,,,,,
80,4,-15,True,17.677473,0.374444,182,1770969523.068618,1770969525.079079
80,5,-30,True,24.528022,0.460285,182,1770969528.180735,1770969530.188375
100,0,0,False,,,,,
100,1,15,True,7.785635,0.401682,181,1770969551.127110,1770969553.128574
100,2,30,True,24.462637,1.123545,182,1770969556.229810,1770969558.234826
100,3,0,False,,,,,
100,4,-15,True,17.579121,0.196385,182,1770969566.391908,1770969568.399417
100,5,-30,True,25.814917,0.352371,181,1770969571.500379,1770969573.506799
200,0,0,False,,,,,
200,1,15,True,8.178022,0.510076,182,1770969636.381160,1770969638.387112
200,2,30,True,22.986740,1.083944,181,1770969641.488310,1770969643.488647
200,3,0,False,,,,,
200,4,-15,True,16.253297,0.336976,182,1770969651.645636,1770969653.656501
200,5,-30,True,23.415385,0.615531,182,1770969656.757673,1770969658.763429
400,0,0,False,,,,,
400,1,15,True,8.537363,0.379778,182,1770969780.951760,1770969782.961983
400,2,30,True,27.546961,0.399241,181,1770969786.063520,1770969788.071044
400,3,0,False,,,,,
400,4,-15,True,16.661538,0.189952,182,1770969796.228454,1770969798.232900
400,5,-30,True,23.264835,0.237097,182,1770969801.334343,1770969803.342987
600,0,0,False,,,,,
600,1,15,True,7.045604,0.406790,182,1770969898.920005,1770969900.928131
600,2,30,True,23.946154,0.157191,182,1770969904.029712,1770969906.035777
600,3,0,False,,,,,
600,4,-15,True,14.165934,0.562496,182,1770969914.192669,1770969916.197991
600,5,-30,True,23.381868,0.794908,182,1770969919.299582,1770969921.307276
800,0,0,False,,,,,
800,1,15,True,8.069780,0.541044,182,1770970035.951178,1770970037.960240
800,2,30,True,27.775824,0.662215,182,1770970041.061593,1770970043.064454
800,3,0,False,,,,,
800,4,-15,True,15.586264,0.313734,182,1770970051.221466,1770970053.229371
800,5,-30,True,24.392857,0.545401,182,1770970056.330637,1770970058.334685
999,0,0,False,,,,,
999,1,15,True,7.532967,0.380333,182,1770970173.711489,1770970175.718483
999,2,30,True,25.738674,0.729190,181,1770970178.820118,1770970180.824221
999,3,0,False,,,,,
999,4,-15,True,14.969231,0.369916,182,1770970188.981553,1770970190.990197
999,5,-30,True,23.951667,0.335010,180,1770970194.091877,1770970196.094394
