cycle,step_index,angle_deg,measured,force_mean,force_std,n_samples,t_measure_start_unix,t_measure_end_unix
1,0,0,False,,,,,
1,1,30,True,2.799451,0.130234,182,1770958307.770701,1770958309.781220
1,2,60,True,5.003867,0.400883,181,1770958312.882893,1770958314.884424
1,3,90,True,11.568681,0.606008,182,1770958317.985878,1770958319.994483
1,4,0,False,,,,,
1,5,-15,True,8.421429,0.346142,182,1770958328.151853,1770958330.160296
1,6,-30,True,13.118132,0.189068,182,1770958333.261670,1770958335.269863
5,0,0,False,,,,,
5,1,30,True,2.353591,0.087881,181,1770958353.750783,1770958355.755107
5,2,60,True,5.046961,0.184253,181,1770958358.856457,1770958360.859377
5,3,90,True,11.387845,0.442551,181,1770958363.960763,1770958365.964684
5,4,0,False,,,,,
5,5,-15,True,7.754396,0.369047,182,1770958374.122138,1770958376.131307
5,6,-30,True,15.408242,0.198859,182,1770958379.232888,1770958381.240747
10,0,0,False,,,,,
10,1,30,True,2.532778,0.111781,180,1770958412.577727,1770958414.579435
10,2,60,True,5.276923,0.311147,182,1770958417.680697,1770958419.689000
10,3,90,True,10.736813,0.147602,182,1770958422.790205,1770958424.799881
10,4,0,False,,,,,
10,5,-15,True,10.607143,0.445733,182,1770958432.957216,1770958434.966969
10,6,-30,True,13.960989,0.436162,182,1770958438.068403,1770958440.075793
15,0,0,False,,,,,
15,1,30,True,2.184530,0.051461,181,1770958473.500140,1770958475.505160
15,2,60,True,5.253591,0.197627,181,1770958478.606286,1770958480.607225
15,3,90,True,9.631319,0.258891,182,1770958483.708339,1770958485.717703
15,4,0,False,,,,,
15,5,-15,True,7.183516,0.309790,182,1770958493.875082,1770958495.885842
15,6,-30,True,13.406077,0.315201,181,1770958498.987482,1770958500.988224
20,0,0,False,,,,,
20,1,30,True,2.481319,0.081304,182,1770958518.444516,1770958520.450069
20,2,60,True,3.792265,0.089106,181,1770958523.551588,1770958525.558120
20,3,90,True,9.090110,0.180579,182,1770958528.659227,1770958530.666328
20,4,0,False,,,,,
20,5,-15,True,9.176923,0.346754,182,1770958538.823652,1770958540.828905
20,6,-30,True,13.047253,0.928415,182,1770958543.929870,1770958545.936771
40,0,0,False,,,,,
40,1,30,True,2.041989,0.089470,181,1770958569.302514,1770958571.303114
40,2,60,True,5.051381,0.197374,181,1770958574.404024,1770958576.404856
40,3,90,True,9.593923,0.497456,181,1770958579.505966,1770958581.510570
40,4,0,False,,,,,
40,5,-15,True,9.395556,0.267791,180,1770958589.667654,1770958591.669979
40,6,-30,True,13.187363,0.219755,182,1770958594.771319,1770958596.775453
60,0,0,False,,,,,
60,1,30,True,1.554396,0.100592,182,1770958616.226177,1770958618.233814
60,2,60,True,4.912088,0.118308,182,1770958621.335492,1770958623.342979
60,3,90,True,11.580769,0.390938,182,1770958626.444145,1770958628.453033
60,4,0,False,,,,,
60,5,-15,True,9.897253,0.333810,182,1770958636.610313,1770958638.617043
60,6,-30,True,12.495604,0.182924,182,1770958641.718164,1770958643.725283
80,0,0,False,,,,,
80,1,30,True,2.505525,0.119594,181,1770958665.480623,1770958667.487292
80,2,60,True,5.506044,0.247455,182,1770958670.588437,1770958672.597412
80,3,90,True,10.746409,0.164150,181,1770958675.698592,1770958677.699672
80,4,0,False,,,,,
80,5,-15,True,8.289560,0.341189,182,1770958685.857029,1770958687.864269
80,6,-30,True,11.445055,0.656588,182,1770958690.965681,1770958692.973499
100,0,0,False,,,,,
100,1,30,True,2.070330,0.131707,182,1770958931.798449,1770958933.802921
100,2,60,True,4.518132,0.137261,182,1770958936.904647,1770958938.909189
100,3,90,True,9.660440,0.773223,182,1770958942.010229,1770958944.015643
100,4,0,False,,,,,
100,5,-15,True,4.957143,0.336259,182,1770958952.172935,1770958954.183868
100,6,-30,True,11.857459,0.530840,181,1770958957.285359,1770958959.286983
200,0,0,False,,,,,
200,1,30,True,2.512088,0.088991,182,1770959022.212054,1770959024.221354
200,2,60,True,5.048619,0.157624,181,1770959027.322649,1770959029.331277
200,3,90,True,10.819337,1.232437,181,1770959032.432911,1770959034.434132
200,4,0,False,,,,,
200,5,-15,True,8.550829,1.786107,181,1770959042.588637,1770959044.596158
200,6,-30,True,16.154396,0.811490,182,1770959047.697538,1770959049.702197
400,0,0,False,,,,,
400,1,30,True,1.985635,0.198643,181,1770959153.117074,1770959155.117493
400,2,60,True,5.941209,0.137879,182,1770959158.218907,1770959160.223282
400,3,90,True,12.266851,0.939211,181,1770959163.324275,1770959165.332551
400,4,0,False,,,,,
400,5,-15,True,7.502747,0.219349,182,1770959173.489733,1770959175.496720
400,6,-30,True,13.145604,0.530774,182,1770959178.597963,1770959180.600298
600,0,0,False,,,,,
600,1,30,True,2.371978,0.045035,182,1770959249.413904,1770959251.422186
600,2,60,True,5.596154,0.213460,182,1770959254.523818,1770959256.530232
600,3,90,True,12.811475,1.168699,183,1770959259.631623,1770959261.641488
600,4,0,False,,,,,
600,5,-15,True,5.374725,0.177828,182,1770959269.798570,1770959271.806745
600,6,-30,True,10.969231,0.795733,182,1770959274.907575,1770959276.914021
800,0,0,False,,,,,
800,1,30,True,2.039011,0.134883,182,1770959350.386937,1770959352.397241
800,2,60,True,4.068132,0.174558,182,1770959355.498511,1770959357.504513
800,3,90,True,10.700000,0.301744,182,1770959360.605654,1770959362.610744
800,4,0,False,,,,,
800,5,-15,True,7.349451,0.636266,182,1770959370.767924,1770959372.777689
800,6,-30,True,10.240110,0.715485,182,1770959375.879347,1770959377.888448
999,0,0,False,,,,,
999,1,30,True,2.639560,1.439182,182,1770959477.824857,1770959479.834423
999,2,60,True,5.512088,1.443854,182,1770959482.935729,1770959484.943561
999,3,90,True,10.582873,0.492595,181,1770959488.045069,1770959490.048585
999,4,0,False,,,,,
999,5,-15,True,8.777473,0.097415,182,1770959498.205722,1770959500.212399
999,6,-30,True,10.422652,0.493272,181,1770959503.313540,1770959505.319243
