cycle,step_index,angle_deg,measured,force_mean,force_std,n_samples,t_measure_start_unix,t_measure_end_unix
1,0,0,False,,,,,
1,1,45,True,3.428571,0.137689,182,1770994432.985479,1770994434.992061
1,2,90,True,2.169022,0.138954,184,1770994438.093239,1770994440.096904
1,3,135,True,2.648352,0.061944,182,1770994443.197740,1770994445.200708
5,0,0,False,,,,,
5,1,45,True,2.802747,0.087590,182,1770994460.287083,1770994462.295046
5,2,90,True,1.931892,0.050100,185,1770994465.396218,1770994467.401495
5,3,135,True,2.300000,0.000000,182,1770994470.502553,1770994472.503811
10,0,0,False,,,,,
10,1,45,True,2.297253,0.016391,182,1770994490.127038,1770994492.128970
10,2,90,True,1.447283,0.070851,184,1770994495.229824,1770994497.231161
10,3,135,True,2.039891,0.049102,183,1770994500.332434,1770994502.341364
15,0,0,False,,,,,
15,1,45,True,2.399462,0.007332,186,1770994524.395602,1770994526.398551
15,2,90,True,1.425683,0.043808,183,1770994529.499529,1770994531.504376
15,3,135,True,1.990110,0.069814,182,1770994534.605367,1770994536.611122
20,0,0,False,,,,,
20,1,45,True,1.934783,0.059017,184,1770994555.085373,1770994557.095840
20,2,90,True,1.678804,0.040981,184,1770994560.197375,1770994562.204907
20,3,135,True,2.000549,0.007412,182,1770994565.306047,1770994567.315798
40,0,0,False,,,,,
40,1,45,True,2.038798,0.061775,183,1770994590.345589,1770994592.346251
40,2,90,True,1.769780,0.095876,182,1770994595.447187,1770994597.457534
40,3,135,True,2.159890,0.082005,182,1770994600.559112,1770994602.559350
60,0,0,False,,,,,
60,1,45,True,1.977901,0.041607,181,1770994625.155297,1770994627.158638
60,2,90,True,1.687978,0.158176,183,1770994630.259901,1770994632.269392
60,3,135,True,2.262295,0.146944,183,1770994635.370746,1770994637.375194
80,0,0,False,,,,,
80,1,45,True,1.730769,0.046281,182,1770994659.811223,1770994661.818752
80,2,90,True,1.637363,0.074550,182,1770994664.920265,1770994666.925972
80,3,135,True,1.663736,0.082792,182,1770994670.027095,1770994672.033903
100,0,0,False,,,,,
100,1,45,True,2.026630,0.044323,184,1770994705.413473,1770994707.419726
100,2,90,True,1.785246,0.035562,183,1770994710.521155,1770994712.531195
100,3,135,True,2.401099,0.010454,182,1770994715.632432,1770994717.635794
200,0,0,False,,,,,
200,1,45,True,1.736264,0.062218,182,1770994785.793929,1770994787.799083
200,2,90,True,1.659116,0.132863,181,1770994790.900550,1770994792.901369
200,3,135,True,1.814208,0.080625,183,1770994796.002386,1770994798.007189
400,0,0,False,,,,,
400,1,45,True,1.619231,0.039520,182,1770994922.096428,1770994924.098130
400,2,90,True,1.312088,0.032689,182,1770994927.199718,1770994929.209500
400,3,135,True,1.787363,0.066521,182,1770994932.310406,1770994934.312130
600,0,0,False,,,,,
600,1,45,True,1.419780,0.080358,182,1770995042.008219,1770995044.008380
600,2,90,True,1.359890,0.053455,182,1770995047.109906,1770995049.113084
600,3,135,True,2.082873,0.041959,181,1770995052.214135,1770995054.221552
800,0,0,False,,,,,
800,1,45,True,1.351648,0.070299,182,1770995179.247880,1770995181.255662
800,2,90,True,1.407609,0.038365,184,1770995184.356909,1770995186.357926
800,3,135,True,2.031868,0.046725,182,1770995189.459260,1770995191.459368
999,0,0,False,,,,,
999,1,45,True,1.400000,0.000000,183,1770995315.406256,1770995317.416449
999,2,90,True,1.448352,0.074125,182,1770995320.517674,1770995322.526896
999,3,135,True,2.078022,0.063598,182,1770995325.627991,1770995327.636193
