joint,time_min,ratio_mean,ratio_std,n_used
ankle,-1,1.0,0.0,3
ankle,0,0.8264774294756968,0.11030645970240324,3
ankle,10,0.7702058822678363,0.04827658608342098,3
ankle,30,0.8942398911490343,0.06565193632061514,3
ankle,60,0.9235075285259523,0.08376656770828887,3
hip,-1,1.0,0.0,3
hip,0,0.7507404736158353,0.10002161914080483,3
hip,10,0.7894925712712881,0.06391685495366399,3
hip,30,0.9720021039248037,0.16913552853983937,3
hip,60,0.7954061443050021,0.16447308576185315,3
knee,-1,1.0,0.0,3
knee,0,0.48109605004101025,0.034204391194386424,3
knee,10,0.7435236539749325,0.03139314374722418,3
knee,30,0.7819465299022242,0.12743872291746178,3
knee,60,0.8408663296378802,0.08201268664692976,3
