angle_deg,torque_mean,torque_std,n_used,joint,time
-30,-3.62870564,0.4932323118223444,3,ankle,baseline
-15,-2.3653843266666668,0.44152549091477855,3,ankle,baseline
15,2.0999743333333334,0.45342666154765376,3,ankle,baseline
30,3.397804573333334,0.7928257926925132,3,ankle,baseline
-30,-1.5671595133333334,0.18599607956933037,3,hip,baseline
-15,-0.7045759233333334,0.3766089064678732,3,hip,baseline
30,0.21088576666666667,0.05603440233276905,3,hip,baseline
60,0.40362703333333333,0.09206713335868034,3,hip,baseline
90,1.2016039933333333,0.14328388724219518,3,hip,baseline
45,0.331862625,0.05197024427686677,3,knee,baseline
90,0.268871085,0.02931105791928532,3,knee,baseline
135,0.34973901,0.019676993178023315,3,knee,baseline
-30,-3.6945085800000004,0.26237821184628546,3,ankle,0 min
-15,-2.14266668,0.1506682860420905,3,ankle,0 min
15,0.9183082533333334,0.06118739277495105,3,ankle,0 min
30,2.6895607200000007,0.6038177280888885,3,ankle,0 min
-30,-1.33692086,0.30573024016471134,3,hip,0 min
-15,-0.5538076866666667,0.08903796880622185,3,hip,0 min
30,0.06869962,0.02703620422460039,3,hip,0 min
60,0.18415936,0.07077710139888677,3,hip,0 min
90,0.8795769033333333,0.24323517216583487,3,hip,0 min
45,0.13828842,0.024063416405808325,3,knee,0 min
90,0.14076099,0.009978327381896232,3,knee,0 min
135,0.17704142999999997,0.012380809288696566,3,knee,0 min
-30,-3.2330769333333333,0.0850049490324095,3,ankle,10 min
-15,-2.34982048,0.16417811084499534,3,ankle,10 min
15,0.71741026,0.08939935151753398,3,ankle,10 min
30,2.5183861733333335,0.23132220332164585,3,ankle,10 min
-30,-1.26389197,0.394927126737768,3,hip,10 min
-15,-0.6144076766666667,0.126965171302581,3,hip,10 min
30,0.1779358533333333,0.008722107560505843,3,hip,10 min
60,0.2427519966666667,0.04808886692136167,3,hip,10 min
90,0.92395974,0.1787451088565617,3,hip,10 min
45,0.23231362500000005,0.020853319037411645,3,knee,10 min
90,0.209591775,0.016939135816852507,3,knee,10 min
135,0.26377263,0.01844634703551018,3,knee,10 min
-30,-3.502162906666667,0.022301903486064527,3,ankle,30 min
-15,-2.4043726000000003,0.15228949264364502,3,ankle,30 min
15,1.1445059733333334,0.41088431521793106,3,ankle,30 min
30,3.180461526666667,0.17648925189260292,3,ankle,30 min
-30,-1.3516924666666668,0.3763608684239771,3,hip,30 min
-15,-0.5239079633333333,0.03631897343716411,3,hip,30 min
30,0.20307906666666667,0.018461323070076346,3,hip,30 min
60,0.4051023166666667,0.08352962592830182,3,hip,30 min
90,1.4216391933333334,0.09361445050598893,3,hip,30 min
45,0.230456655,0.04703434344361548,3,knee,30 min
90,0.2380824,0.029668662585141503,3,knee,30 min
135,0.271448685,0.03381071881199402,3,knee,30 min
-30,-3.5640892,0.42438798073880607,3,ankle,60 min
-15,-2.1668158400000004,0.6844304947345563,3,ankle,60 min
15,1.5288497,0.16177316685969023,3,ankle,60 min
30,3.3662255200000004,0.5438146205241411,3,ankle,60 min
-30,-0.8631172366666666,0.01912273688194589,3,hip,60 min
-15,-0.57418581,0.12408026323922873,3,hip,60 min
30,0.16917032,0.010821739617792524,3,hip,60 min
60,0.34255877333333334,0.022895506107510143,3,hip,60 min
90,1.2351025866666667,0.121733745567901,3,hip,60 min
45,0.25441992,0.02721527681360599,3,knee,60 min
90,0.24653434500000002,0.024166225926277773,3,knee,60 min
135,0.29546442,0.03915801591098845,3,knee,60 min
