joint,n,angle_deg,force_mean,force_std
ankle,1,-30,28.306044,0.721046
ankle,1,-15,19.087912,0.493233
ankle,1,15,16.062637,1.758462
ankle,1,30,26.387912,2.228957
ankle,2,-30,21.872928,0.864219
ankle,2,-15,13.281215,0.915108
ankle,2,15,17.573626,1.254678
ankle,2,30,28.568889,0.264319
ankle,3,-30,27.579006,1.185468
ankle,3,-15,18.31768,1.307295
ankle,3,15,11.363187,1.852374
ankle,3,30,17.853297,0.736398
hip,1,-30,14.534254,1.292516
hip,1,-15,10.358564,0.389724
hip,1,30,2.503846,0.088177
hip,1,60,3.946703,0.050029
hip,1,90,12.417582,0.49127
hip,2,-30,15.775691,0.928897
hip,2,-15,4.413187,0.115351
hip,2,30,1.587363,0.064839
hip,2,60,4.332418,0.049234
hip,2,90,10.328022,0.162968
hip,3,-30,12.430769,0.719759
hip,3,-15,4.443956,0.166344
hip,3,30,1.660221,0.06384
hip,3,60,2.728889,0.046664
hip,3,90,10.025414,0.387464
knee,1,45,2.902747,0.05301
knee,1,90,1.892265,0.067048
knee,1,135,2.513187,0.109452
knee,2,45,2.232967,0.047139
knee,2,90,1.841989,0.052751
knee,2,135,2.5,0.0
knee,3,45,2.239011,0.070241
knee,3,90,2.240659,0.060345
knee,3,135,2.758791,0.049357
