joint,n,angle_deg,force_mean,force_std
ankle,1,-30,28.348066,0.448775
ankle,1,-15,20.581768,0.342295
ankle,1,15,12.253846,1.160949
ankle,1,30,27.120879,0.323659
ankle,2,-30,22.302747,0.653797
ankle,2,-15,15.012637,0.377846
ankle,2,15,10.293407,0.357339
ankle,2,30,19.679558,0.606054
ankle,3,-30,25.722527,1.830372
ankle,3,-15,10.837363,0.339368
ankle,3,15,10.213812,1.134302
ankle,3,30,25.332967,0.725549
hip,1,-30,7.745055,0.464726
hip,1,-15,5.083425,0.56495
hip,1,30,1.558791,0.099749
hip,1,60,3.062088,0.205564
hip,1,90,12.153297,0.561928
hip,2,-30,7.747253,0.413806
hip,2,-15,4.166298,0.214533
hip,2,30,1.624176,0.125122
hip,2,60,2.937017,0.268556
hip,2,90,10.002198,0.850022
hip,3,-30,8.047253,0.229022
hip,3,-15,6.40989,0.529162
hip,3,30,1.430769,0.09483
hip,3,60,3.343407,0.407303
hip,3,90,11.529121,0.866554
knee,1,45,2.064088,0.098786
knee,1,90,1.623077,0.077355
knee,1,135,1.889503,0.030737
knee,2,45,1.923204,0.042331
knee,2,90,1.960989,0.093224
knee,2,135,2.207692,0.02672
knee,3,45,1.666484,0.060639
knee,3,90,1.894475,0.068899
knee,3,135,2.468681,0.118729
