time,MD,MF
2e-06,0.0,0.013811
0.020002,0.013811,0.013811
0.040002,0.0,0.0
0.060002,0.013811,0.0
0.080002,0.0,0.0
0.100002,0.013811,0.0
0.120002,0.0,0.0
0.140002,0.013811,0.0
0.160002,0.027621,0.0
0.180002,0.013811,0.0
0.200002,0.0,0.013811
0.220002,0.013811,0.0
0.240002,0.0,-0.013811
0.260002,0.0,0.0
0.280002,-0.013811,0.0
0.300002,0.013811,0.013811
0.320002,0.0,0.0
0.340042,0.013811,0.0
0.360002,0.013811,0.013811
0.380002,0.013811,-0.013811
0.400002,0.013811,0.013811
0.420032,-0.013811,0.0
0.440002,0.013811,0.0
0.460002,0.013811,0.0
0.480042,0.013811,0.013811
0.500002,0.0,0.0
0.520032,0.013811,0.013811
0.540002,0.0,0.0
0.560002,0.0,0.0
0.580042,0.0,-0.013811
0.600042,0.013811,0.013811
0.620032,0.013811,0.013811
0.640002,0.0,0.013811
0.660002,-0.013811,0.0
0.680002,0.0,0.041432
0.700002,0.013811,0.027621
0.720002,0.041432,0.041432
0.740002,0.027621,0.069053
0.760002,0.082864,0.082864
0.780002,0.041432,0.0
0.800002,0.041432,0.082864
0.820002,0.055243,0.082864
0.840002,0.055243,0.055243
0.860002,0.096675,0.055243
0.880002,0.069053,0.110485
0.900002,0.096675,0.069053
0.920002,0.069053,0.055243
0.940002,0.069053,0.110485
0.960002,0.082864,0.096674
0.980002,0.082864,0.082864
1.000002,0.069053,0.069053
1.020002,0.124296,0.069053
1.040002,0.082864,0.082864
1.060002,0.110486,0.082864
1.080002,0.096675,0.082864
1.100002,0.124296,0.096674
1.120002,0.110486,0.124296
1.140002,0.124296,0.096674
1.160002,0.124296,0.096674
1.180002,0.110486,0.096674
1.200002,0.110486,0.082864
1.220002,0.096675,0.110485
1.240002,0.110486,0.082864
1.260002,0.110486,0.096674
1.280002,0.110486,0.069053
1.300002,0.096675,0.096674
1.320002,0.124296,0.082864
1.340032,0.124296,0.124296
1.360002,0.138107,0.110485
1.380002,0.151918,0.096674
1.400002,0.124296,0.124296
1.420032,0.151918,0.124296
1.440002,0.124296,0.082864
1.460002,0.165728,0.096674
1.480002,0.138107,0.124296
1.500002,0.151918,0.096674
1.520002,0.138107,0.124296
1.540002,0.124296,0.124296
1.560002,0.124296,0.151917
1.580002,0.151918,0.096674
1.600002,0.151918,0.110485
1.620002,0.138107,0.110485
1.640002,0.165728,0.124296
1.660002,0.138107,0.124296
1.680002,0.138107,0.096674
1.700002,0.124296,0.110485
1.720002,0.179539,0.110485
1.740002,0.138107,0.096674
1.760032,0.151918,0.124296
1.780002,0.138107,0.138106
1.800002,0.179539,0.138106
1.820002,0.138107,0.138106
1.840002,0.151918,0.096674
1.860002,0.138107,0.124296
1.880002,0.151918,0.138106
1.900002,0.165728,0.124296
1.920002,0.110486,0.110485
1.940002,0.165728,0.124296
1.960002,0.110486,0.124296
1.980002,0.110486,0.082864
2.000002,0.138107,0.110485
2.020002,0.179539,0.110485
2.040002,0.124296,0.096674
2.060002,0.165728,0.138106
2.080002,0.124296,0.124296
2.100002,0.151918,0.151917
2.120002,0.165728,0.151917
2.140002,0.138107,0.151917
2.160002,0.165728,0.124296
2.180002,0.179539,0.138106
2.200032,0.165728,0.124296
2.220002,0.151918,0.138106
2.240002,0.165728,0.138106
2.260002,0.138107,0.124296
2.280002,0.165728,0.110485
2.300002,0.124296,0.124296
2.320002,0.151918,0.138106
2.340002,0.151918,0.124296
2.360002,0.165728,0.151917
2.380002,0.165728,0.138106
2.400002,0.138107,0.110485
2.420002,0.165728,0.165728
2.440002,0.151918,0.110485
2.460002,0.179539,0.110485
2.480002,0.151918,0.151917
2.500002,0.179539,0.151917
2.520002,0.165728,0.151917
2.540002,0.19335,0.151917
2.560002,0.179539,0.138106
2.580002,0.165728,0.138106
2.600032,0.151918,0.138106
2.620002,0.151918,0.151917
2.640002,0.179539,0.151917
