time,MD,MF
2e-06,0.0,0.0
0.020002,0.0,0.0
0.040002,0.0,0.0
0.060002,0.0,0.0
0.080002,0.0,0.0
0.100002,0.0,0.0
0.120002,0.0,0.0
0.140002,0.0,0.0
0.160002,0.0,0.0
0.180002,0.0,0.0
0.200002,0.0,0.0
0.220002,0.0,0.0
0.240002,0.0,0.0
0.260002,0.0,0.0
0.280002,0.0,0.0
0.300002,0.0,0.0
0.320002,0.0,0.0
0.340042,0.0,0.0
0.360002,0.0,0.0
0.380002,0.0,0.0
0.400002,0.0,0.0
0.420032,0.0,0.0
0.440002,0.0,0.0
0.460002,0.0,0.0
0.480042,0.0,0.0
0.500002,0.0,0.0
0.520032,0.0,0.0
0.540002,0.0,0.0
0.560002,0.0,0.0
0.580042,0.0,0.0
0.600042,0.0,0.0
0.620032,0.0,0.0
0.640002,0.0,0.0
0.660002,0.0,0.0
0.680002,0.0,0.0
0.700002,0.0,0.0
0.720002,0.0,0.0
0.740002,0.0,0.00768
0.760002,0.0,0.00768
0.780002,0.0,0.01528
0.800002,0.0,0.01528
0.820002,0.0072,0.02288
0.840002,0.0072,0.03056
0.860002,0.0072,0.03056
0.880002,0.0152,0.03816
0.900002,0.0152,0.04576
0.920002,0.0232,0.04576
0.940002,0.0232,0.05336
0.960002,0.0304,0.05336
0.980002,0.0304,0.06104
1.000002,0.0384,0.06864
1.020002,0.0384,0.06864
1.040002,0.0456,0.07624
1.060002,0.0456,0.07624
1.080002,0.0536,0.08392
1.100002,0.0536,0.09152
1.120002,0.0536,0.09912
1.140002,0.0608,0.09912
1.160002,0.0608,0.1068
1.180002,0.0688,0.1144
1.200002,0.0688,0.1144
1.220002,0.076,0.122
1.240002,0.076,0.122
1.260002,0.084,0.12968
1.280002,0.084,0.13728
1.300002,0.0912,0.13728
1.320002,0.0912,0.14488
1.340032,0.0992,0.15256
1.360002,0.0992,0.15256
1.380002,0.1064,0.16016
1.400002,0.1064,0.16776
1.420032,0.1144,0.16776
1.440002,0.1144,0.18304
1.460002,0.1144,0.18304
1.480002,0.1216,0.18304
1.500002,0.1296,0.19064
1.520002,0.1296,0.19832
1.540002,0.1376,0.19832
1.560002,0.1376,0.21352
1.580002,0.1448,0.21352
1.600002,0.1448,0.2212
1.620002,0.1528,0.2212
1.640002,0.1528,0.2364
1.660002,0.16,0.2364
1.680002,0.16,0.2364
1.700002,0.168,0.244
1.720002,0.168,0.25168
1.740002,0.1752,0.25928
1.760032,0.1752,0.25928
1.780002,0.1832,0.26688
1.800002,0.1832,0.26688
1.820002,0.1904,0.27456
1.840002,0.1904,0.28216
1.860002,0.1984,0.28976
1.880002,0.2056,0.28976
1.900002,0.2056,0.29744
1.920002,0.2136,0.30504
1.940002,0.2136,0.30504
1.960002,0.2208,0.31264
1.980002,0.2208,0.32032
2.000002,0.2288,0.32032
2.020002,0.2288,0.32792
2.040002,0.236,0.33552
2.060002,0.236,0.33552
2.080002,0.244,0.3432
2.100002,0.244,0.3508
2.120002,0.2512,0.3508
2.140002,0.2512,0.3584
2.160002,0.2592,0.36608
2.180002,0.2672,0.36608
2.200032,0.2672,0.37368
2.220002,0.2744,0.38128
2.240002,0.2744,0.38128
2.260002,0.2744,0.38896
2.280002,0.2824,0.39656
2.300002,0.2824,0.40416
2.320002,0.2896,0.40416
2.340002,0.2976,0.41176
2.360002,0.2976,0.41176
2.380002,0.2976,0.41944
2.400002,0.3048,0.42704
2.420002,0.3048,0.42704
2.440002,0.3128,0.43464
2.460002,0.3128,0.44232
2.480002,0.32,0.44232
2.500002,0.32,0.44992
2.520002,0.328,0.45752
2.540002,0.328,0.4652
2.560002,0.3352,0.4728
2.580002,0.3432,0.4728
2.600032,0.3432,0.4804
2.620002,0.3504,0.4804
2.640002,0.3504,0.48808
2.660002,0.3584,0.49568
2.680002,0.3584,0.50328
2.700002,0.3656,0.50328
2.720002,0.3656,0.51096
2.740002,0.3736,0.51856
2.760002,0.3816,0.51856
2.780002,0.3816,0.52616
2.800002,0.3888,0.53384
2.820002,0.3888,0.53384
2.840062,0.3968,0.54144
2.860002,0.3968,0.54904
2.880002,0.404,0.55672
2.900002,0.404,0.55672
2.920002,0.412,0.56432
2.940002,0.4192,0.57192
2.960002,0.4192,0.57952
2.980002,0.4272,0.57952
3.000002,0.4272,0.5872
3.020002,0.4344,0.5948
3.040002,0.4424,0.5948
3.060002,0.4424,0.6024
3.080002,0.4424,0.61008
3.100002,0.4496,0.61008
3.120002,0.4576,0.61768
3.140002,0.4648,0.62528
3.160002,0.4648,0.62528
3.180002,0.4648,0.63296
3.200002,0.4728,0.63296
