time,MB,MC,MD,ME
3.9e-05,0.110485,0.110486,0.110486,0.082864
0.020029,0.082864,0.110486,0.110486,0.082864
0.039999,0.082864,0.096675,0.096675,0.096675
0.059999,0.124296,0.124296,0.110486,0.082864
0.079999,0.124296,0.110486,0.110486,0.082864
0.099999,0.096675,0.110486,0.151918,0.069053
0.120019,0.138107,0.151918,0.110486,0.110485
0.139999,0.110485,0.096675,0.110486,0.096675
0.159999,0.165728,0.110486,0.096675,0.138107
0.179999,0.110485,0.110486,0.124296,0.069053
0.199999,0.082864,0.124296,0.124296,0.124296
0.220019,0.151917,0.082864,0.138107,0.082864
0.239999,0.096675,0.124296,0.151918,0.110485
0.260019,0.110485,0.124296,0.138107,0.069053
0.280019,0.124296,0.110486,0.151918,0.096675
0.300039,0.082864,0.110486,0.124296,0.110485
0.320019,0.110485,0.110486,0.124296,0.124296
0.340019,0.110485,0.124296,0.138107,0.082864
0.360029,0.138107,0.096675,0.096675,0.138107
0.379999,0.124296,0.069053,0.138107,0.082864
0.399999,0.096675,0.110486,0.110486,0.110485
0.419999,0.138107,0.110486,0.138107,0.069053
0.439999,0.096675,0.096675,0.124296,0.110485
0.459999,0.096675,0.138107,0.151918,0.124296
0.479999,0.096675,0.138107,0.151918,0.110485
0.499999,0.096675,0.110486,0.138107,0.110485
0.519999,0.151917,0.138107,0.110486,0.110485
0.539999,0.124296,0.110486,0.138107,0.096675
0.559999,0.110485,0.096675,0.138107,0.138107
0.579999,0.124296,0.124296,0.138107,0.082864
0.599999,0.096675,0.096675,0.138107,0.096675
0.620019,0.151917,0.110486,0.110486,0.096675
0.640019,0.138107,0.124296,0.138107,0.096675
0.660039,0.110485,0.124296,0.124296,0.138107
0.680019,0.124296,0.110486,0.110486,0.110485
0.700039,0.124296,0.110486,0.124296,0.124296
0.720019,0.138107,0.096675,0.138107,0.110485
0.740019,0.096675,0.124296,0.151918,0.124296
0.759999,0.124296,0.138107,0.138107,0.096675
0.779999,0.138107,0.124296,0.138107,0.124296
0.799999,0.124296,0.138107,0.138107,0.110485
0.819999,0.151917,0.138107,0.165728,0.110485
0.839999,0.151917,0.110486,0.124296,0.110485
0.859999,0.110485,0.110486,0.165728,0.124296
0.879999,0.151917,0.096675,0.124296,0.096675
0.899999,0.110485,0.110486,0.165728,0.110485
0.920019,0.138107,0.124296,0.138107,0.096675
0.939999,0.138107,0.110486,0.138107,0.124296
0.960019,0.124296,0.110486,0.165728,0.110485
0.980039,0.124296,0.110486,0.096675,0.138107
1.000019,0.151917,0.124296,0.124296,0.096675
1.020019,0.151917,0.124296,0.138107,0.165728
1.040019,0.138107,0.096675,0.165728,0.096675
1.059999,0.110485,0.124296,0.138107,0.151917
1.079999,0.124296,0.124296,0.151918,0.096675
1.100029,0.138107,0.124296,0.165728,0.096675
