time,MA,MC,MD
3.3e-05,0.262403,0.303835,0.151918
0.020033,0.20716,0.290024,0.124296
0.040033,0.234782,0.303835,0.179539
0.060133,0.262403,0.303835,0.207161
0.080033,0.248592,0.303835,0.207161
0.100033,0.234782,0.317646,0.19335
0.120033,0.234782,0.303835,0.19335
0.140033,0.248592,0.303835,0.207161
0.160033,0.234782,0.290024,0.220971
0.180033,0.234782,0.317646,0.179539
0.199933,0.262403,0.303835,0.207161
0.220033,0.20716,0.331456,0.19335
0.240033,0.262403,0.317646,0.19335
0.260033,0.276214,0.317646,0.220971
0.280133,0.234782,0.317646,0.207161
0.300033,0.276214,0.303835,0.19335
0.320033,0.262403,0.317646,0.179539
0.340033,0.262403,0.317646,0.165728
0.360033,0.276214,0.345267,0.179539
0.380033,0.248592,0.317646,0.19335
0.400033,0.262403,0.331456,0.220971
0.420033,0.276214,0.359078,0.19335
0.440033,0.303835,0.317646,0.165728
0.460033,0.262403,0.345267,0.207161
0.480033,1.49155,-0.566238,0.359078
0.500033,-0.317646,0.248592,0.151918
0.520033,0.552427,-0.096675,0.248593
0.540033,0.331456,-0.110485,0.248593
0.560033,0.276214,0.027621,0.220971
0.580133,0.510995,-0.151917,0.248593
0.600033,0.303835,0.0,0.290025
0.620033,0.469563,-0.096675,0.220971
0.640033,0.372888,-0.082864,0.262403
0.660033,0.345267,-0.027621,0.317646
0.680033,0.510995,-0.082864,0.331457
0.700033,0.483374,-0.041432,0.317646
0.720033,0.566238,-0.069053,0.331457
0.740033,0.593859,-0.069053,0.317646
0.760033,0.580049,-0.055243,0.290025
0.780033,0.635291,-0.069053,0.331457
0.800033,0.566238,-0.082864,0.317646
0.820033,0.552427,-0.069053,0.331457
0.840033,0.593859,-0.069053,0.359078
0.860033,0.690534,-0.027621,0.345267
0.880033,0.718155,-0.027621,0.372889
0.900033,0.801019,-0.069053,0.40051
0.920033,0.801019,-0.082864,0.372889
0.940033,0.828641,-0.041432,0.386699
0.960033,0.81483,-0.041432,0.345267
0.979933,0.883883,-0.027621,0.414321
0.999933,0.966748,-0.082864,0.372889
1.020033,1.0358,-0.069053,0.40051
1.040033,1.09104,-0.027621,0.428131
1.060033,1.06342,-0.013811,0.428131
1.080033,1.13248,-0.055243,0.428131
1.100033,1.13248,-0.069053,0.483374
1.120033,1.18772,-0.069053,0.441942
1.140033,1.20153,-0.055243,0.441942
1.159933,1.18772,-0.041432,0.455753
1.180033,1.32583,-0.069053,0.469563
1.199933,1.39488,-0.082864,0.510995
1.220033,1.47774,-0.082864,0.483374
1.240033,1.56061,-0.055243,0.524806
1.259933,1.65728,-0.013811,0.580049
1.280033,1.61585,-0.055243,0.566238
1.300033,1.76777,-0.069053,0.580049
1.320133,1.78158,-0.041432,0.538617
1.340033,1.74015,-0.055243,0.538617
1.360133,2.01636,-0.027621,0.635292
1.380033,1.82301,-0.110485,0.580049
1.400033,1.87825,-0.069053,0.662913
1.420033,2.01636,-0.069053,0.621481
1.440033,2.12684,-0.041432,0.690534
1.460033,2.14066,-0.041432,0.635292
1.480033,2.08541,-0.096675,0.552427
1.500033,1.74015,-0.082864,0.662913
1.520033,1.89206,-0.055243,0.621481
1.540033,1.97493,-0.055243,0.676724
1.560033,2.03017,-0.027621,0.690534
1.580033,2.05779,-0.041432,0.690534
1.600033,2.0716,-0.069053,0.676724
1.620033,2.04398,-0.041432,0.731966
1.640033,2.22352,-0.041432,0.649102
1.666533,2.43068,-0.082864,0.731966
1.686533,2.36163,-0.069053,0.649102
1.706533,2.48592,-0.041432,0.718156
1.726533,2.36163,-0.041432,0.731966
1.746533,2.55498,-0.069053,0.731966
1.766533,2.5826,-0.082864,0.745777
1.786533,2.66546,-0.069053,0.80102
1.806533,2.59641,-0.055243,0.828641
1.826533,2.36163,-0.027621,0.828641
1.846533,2.51354,-0.069053,0.731966
1.866533,2.47211,-0.096675,0.787209
1.886533,2.5826,-0.069053,0.81483
1.906533,2.77595,-0.013811,0.773398
1.926533,2.54116,-0.055243,0.856262
1.946533,2.69308,-0.082864,0.731966
1.966533,2.65165,-0.082864,0.870073
1.986533,2.81738,-0.055243,0.856262
2.006533,2.80357,-0.041432,0.80102
2.026533,2.94167,-0.055243,0.80102
2.046533,2.9693,-0.096675,0.773398
2.066533,2.95549,-0.082864,0.773398
2.086533,3.14883,-0.055243,0.80102
2.106533,2.88643,-0.041432,0.773398
2.126533,3.24551,-0.069053,0.828641
2.146533,3.32837,-0.082864,0.787209
2.166533,2.95549,-0.082864,0.828641
2.186533,3.17646,-0.069053,0.828641
2.206533,3.32837,-0.027621,0.773398
2.226533,3.14883,-0.055243,0.828641
2.246533,3.6184,-0.069053,0.787209
2.266533,3.50791,-0.069053,0.883884
2.286533,3.71507,-0.027621,0.870073
2.306533,3.81175,-0.027621,0.897694
2.326533,3.89461,-0.082864,0.952937
2.346533,3.97748,-0.096675,0.994369
2.366533,4.08796,-0.082864,0.925316
2.386533,3.82556,-0.055243,0.897694
2.406533,4.1432,-0.055243,0.911505
2.426533,4.36417,-0.069053,0.828641
2.446533,4.25369,-0.082864,1.021991
2.466533,4.15701,-0.055243,0.966748
2.486533,4.43323,-0.041432,0.994369
2.506533,4.2675,-0.055243,1.00818
2.526533,4.7785,-0.096675,1.104851
2.546533,4.66801,-0.124296,1.146291
2.566533,4.69563,-0.027621,1.021991
2.586533,4.84755,-0.055243,1.118661
2.606533,4.58515,-0.013811,0.966748
2.626533,5.13757,-0.055243,1.104851
2.646533,5.22044,-0.082864,1.187721
2.666533,5.0409,-0.055243,1.049611
2.686533,4.80612,-0.041432,1.173911
2.706533,5.05471,-0.069053,1.215341
2.726533,5.179,-0.082864,1.187721
2.746533,5.31711,-0.096675,1.201531
2.766533,5.3033,-0.069053,1.187721
2.786533,5.33092,-0.055243,1.160101
2.806533,5.44141,-0.041432,1.146291
2.826533,5.28949,-0.069053,1.298201
2.846533,5.0409,-0.069053,1.270581
2.866533,5.13757,-0.013811,1.215341
2.886533,5.10995,-0.055243,1.422501
2.906533,4.76468,-0.069053,1.270581
