time,MA,MC,MD
3.3e-05,4.3696,1.41072,0.73968
0.020033,4.408,1.41832,0.74728
0.040033,4.4456,1.426,0.74728
0.060133,4.476,1.4412,0.75488
0.080033,4.5144,1.45648,0.76256
0.100033,4.5528,1.46408,0.76256
0.120033,4.5832,1.47176,0.77016
0.140033,4.6136,1.48696,0.77776
0.160033,4.652,1.50224,0.78544
0.180033,4.6896,1.50984,0.79304
0.199933,4.72,1.52512,0.80064
0.220033,4.7584,1.53272,0.80064
0.240033,4.7968,1.54032,0.80832
0.260033,4.8192,1.5556,0.81592
0.280133,4.8648,1.57088,0.82352
0.300033,4.888,1.57848,0.82352
0.320033,4.9264,1.58608,0.8312
0.340033,4.964,1.60136,0.8388
0.360033,5.0024,1.60136,0.8464
0.380033,5.0408,1.61664,0.8464
0.400033,5.0712,1.63184,0.854
0.420033,5.1088,1.63952,0.86168
0.440033,5.132,1.65472,0.86928
0.460033,5.1776,1.6624,0.87688
0.480033,5.2848,1.63952,0.89216
0.500033,6.3296,1.12096,1.05992
0.520033,7.0,0.70152,1.18192
0.540033,7.7168,0.32024,1.28872
0.560033,8.5328,-0.16016,1.4336
0.580133,9.212,-0.54144,1.5632
0.600033,10.012,-0.99896,1.67
0.620033,10.7448,-1.41832,1.8072
0.640033,11.4992,-1.83776,1.9292
0.660033,12.2544,-2.28,2.0436
0.680033,12.9784,-2.69176,2.17328
0.700033,13.7336,-3.12648,2.29528
0.720033,14.4808,-3.55344,2.42488
0.740033,15.228,-3.98048,2.54688
0.760033,15.9832,-4.4152,2.68416
0.780033,16.7152,-4.83456,2.81376
0.800033,17.4624,-5.2616,2.93584
0.820033,18.2176,-5.69624,3.05784
0.840033,18.9568,-6.11568,3.17216
0.860033,19.72,-6.55032,3.30944
0.880033,20.4592,-6.97736,3.43144
0.900033,21.1992,-7.39672,3.55344
0.920033,21.9312,-7.83136,3.69112
0.940033,22.6704,-8.2584,3.80472
0.960033,23.4176,-8.68544,3.95032
0.979933,24.1504,-9.11248,4.06472
0.999933,24.8896,-9.53952,4.19432
1.020033,25.6296,-9.96656,4.32392
1.040033,26.3768,-10.3936,4.43032
1.060033,27.124,-10.82056,4.55272
1.080033,27.864,-11.2476,4.68952
1.100033,28.6112,-11.67464,4.81192
1.120033,29.3504,-12.10168,4.94152
1.140033,30.0824,-12.53632,5.06312
1.159933,30.8456,-12.96336,5.18552
1.180033,31.5624,-13.3904,5.32232
1.199933,32.3016,-13.81744,5.42952
1.220033,33.0488,-14.24448,5.55912
1.240033,33.7808,-14.67144,5.68072
1.259933,34.5128,-15.09848,5.78792
1.280033,35.2608,-15.51792,5.91752
1.300033,35.9848,-15.95256,6.04712
1.320133,36.7248,-16.3796,6.17672
1.340033,37.472,-16.80664,6.31352
1.360133,38.1656,-17.24128,6.41272
1.380033,38.9432,-17.66064,6.55032
1.400033,39.7064,-18.09536,6.66472
1.420033,40.4232,-18.51472,6.79432
1.440033,41.1552,-18.94176,6.90872
1.460033,41.8792,-19.3764,7.03832
1.480033,42.6568,-19.79584,7.19112
1.500033,43.4656,-20.23048,7.30552
1.520033,44.2128,-20.65752,7.43512
1.540033,44.9216,-21.08456,7.54952
1.560033,45.692,-21.51152,7.67112
1.580033,46.4168,-21.93856,7.80072
1.600033,47.1792,-22.3656,7.93032
1.620033,47.9344,-22.79264,8.03752
1.640033,48.6432,-23.21968,8.18952
1.666533,49.6344,-23.82208,8.34952
1.686533,50.3968,-24.24912,8.49512
1.706533,51.1368,-24.67616,8.60952
1.726533,51.9224,-25.1032,8.72392
1.746533,52.6544,-25.53016,8.85352
1.766533,53.3784,-25.9572,8.97512
1.786533,54.1032,-26.38424,9.08952
1.806533,54.8504,-26.81128,9.21192
1.826533,55.6432,-27.24592,9.34152
1.846533,56.3984,-27.66536,9.48632
1.866533,57.1536,-28.0924,9.60072
1.886533,57.8856,-28.52704,9.73032
1.906533,58.5872,-28.9464,9.86712
1.926533,59.38,-29.38104,9.97432
1.946533,60.104,-29.80048,10.12632
1.966533,60.852,-30.22752,10.22552
1.986533,61.576,-30.66216,10.33992
2.006533,62.3008,-31.0892,10.48472
2.026533,63.048,-31.51624,10.61432
2.046533,63.78,-31.94328,10.74472
2.066533,64.5424,-32.37024,10.88152
2.086533,65.2512,-32.797304,11.00392
2.106533,66.052,-33.224328,11.13352
2.126533,66.7464,-33.65136,11.23992
2.146533,67.4704,-34.078384,11.38472
2.166533,68.264,-34.505416,11.50712
2.186533,69.0112,-34.93244,11.62152
2.206533,69.7432,-35.359472,11.77352
2.226533,70.5208,-35.794128,11.88792
