time,MA,MC,MD
0.023001,0.110485,0.165728,0.110485
0.042901,0.138106,0.151918,0.082864
0.063001,0.110485,0.124296,0.096675
0.083001,0.124296,0.179539,0.110485
0.103001,0.124296,0.179539,0.055243
0.123001,0.110485,0.165728,0.096675
0.143001,0.138106,0.165728,0.110485
0.163001,0.138106,0.151918,0.096675
0.183001,0.124296,0.165728,0.110485
0.203001,0.110485,0.179539,0.110485
0.223001,0.151917,0.179539,0.096675
0.243001,0.082864,0.151918,0.055243
0.262901,0.124296,0.179539,0.082864
0.283001,0.110485,0.19335,0.096675
0.303001,0.124296,0.19335,0.096675
0.323001,0.138106,0.207161,0.124296
0.343001,0.110485,0.19335,0.096675
0.362901,0.138106,0.207161,0.082864
0.383001,0.138106,0.19335,0.096675
0.403001,0.110485,0.19335,0.069053
0.423001,0.096674,0.207161,0.110485
0.443001,0.124296,0.19335,0.096675
0.462901,0.138106,0.19335,0.110485
0.483001,0.110485,0.19335,0.096675
0.503001,0.138106,0.19335,0.096675
0.523001,0.138106,0.207161,0.069053
0.543001,0.124296,0.207161,0.096675
0.563001,0.138106,0.220971,0.096675
0.583001,0.124296,0.220971,0.124296
0.603001,0.138106,0.220971,0.096675
0.623001,0.124296,0.220971,0.096675
0.643001,0.138106,0.19335,0.110485
0.663001,0.110485,0.248593,0.096675
0.683001,0.124296,0.234782,0.110485
0.703001,0.110485,0.207161,0.082864
0.723001,0.110485,0.220971,0.096675
0.743001,0.124296,0.248593,0.110485
0.762901,0.138106,0.220971,0.096675
0.783001,0.151917,0.234782,0.082864
0.803001,0.151917,0.234782,0.096675
0.822901,0.124296,0.19335,0.096675
0.843001,0.124296,0.290025,0.124296
0.862901,0.138106,0.248593,0.110485
0.883001,0.138106,0.248593,0.096675
0.903001,0.124296,0.234782,0.110485
0.923001,0.151917,0.207161,0.096675
0.942901,0.110485,0.234782,0.110485
0.962901,0.165728,0.248593,0.124296
0.983001,0.138106,0.234782,0.110485
1.003001,0.138106,0.220971,0.110485
1.023001,0.151917,0.248593,0.110485
1.043001,0.151917,0.220971,0.110485
1.063001,0.138106,0.248593,0.138107
1.083001,0.151917,0.248593,0.110485
1.103001,0.165728,0.220971,0.138107
1.123001,0.138106,0.248593,0.096675
1.143001,0.138106,0.234782,0.124296
1.163001,0.165728,0.234782,0.124296
1.182901,0.193349,0.234782,0.124296
1.203001,0.138106,0.248593,0.138107
1.223001,0.138106,0.262403,0.124296
1.242901,0.138106,0.262403,0.124296
1.263001,0.165728,0.276214,0.110485
1.282901,0.165728,0.290025,0.124296
1.303001,0.151917,0.303835,0.138107
1.323001,0.151917,0.262403,0.151917
1.342901,0.179539,0.248593,0.110485
1.362901,0.151917,0.290025,0.110485
1.383001,0.151917,0.276214,0.151917
1.403001,0.165728,0.276214,0.124296
1.423001,0.151917,0.276214,0.151917
1.442901,0.165728,0.248593,0.138107
1.462901,0.165728,0.248593,0.151917
1.482901,0.179539,0.248593,0.165728
1.503001,0.165728,0.262403,0.124296
1.523001,0.193349,0.262403,0.151917
1.542901,0.193349,0.276214,0.138107
1.562901,0.165728,0.248593,0.151917
1.583001,0.151917,0.262403,0.151917
1.603001,0.165728,0.276214,0.124296
1.623001,0.179539,0.290025,0.179539
1.642901,0.193349,0.303835,0.138107
1.663001,0.165728,0.262403,0.138107
1.683001,0.151917,0.262403,0.165728
1.703001,0.193349,0.303835,0.138107
1.723001,0.179539,0.303835,0.151917
1.743001,0.193349,0.262403,0.151917
1.762901,0.179539,0.290025,0.124296
1.831601,0.165728,0.290025,0.151917
1.851601,0.179539,0.303835,0.138107
1.871601,0.193349,0.262403,0.165728
1.891601,0.165728,0.290025,0.165728
1.911601,0.193349,0.262403,0.165728
1.931601,0.193349,0.303835,0.19335
1.951601,0.179539,0.290025,0.138107
1.971601,0.20716,0.290025,0.138107
1.991601,0.193349,0.276214,0.138107
2.011601,0.165728,0.303835,0.165728
2.031601,0.193349,0.290025,0.165728
2.051601,0.193349,0.317646,0.165728
2.071601,0.193349,0.317646,0.138107
2.091601,0.179539,0.317646,0.165728
2.111601,0.20716,0.290025,0.165728
2.131601,-0.497185,1.436311,0.151917
2.151601,0.041432,0.041432,0.138107
2.171601,0.069053,0.552427,0.138107
2.191601,-0.179539,0.745777,0.138107
2.211601,0.069053,0.290025,0.124296
2.231601,-0.124296,0.787209,0.082864
2.251601,0.027621,0.483374,0.096675
2.271601,-0.069053,0.81483,0.069053
2.291601,-0.110486,0.745777,0.082864
2.311601,-0.041432,0.718156,0.069053
2.331601,-0.055243,0.897694,0.041432
2.351601,-0.027621,0.897694,0.041432
2.371601,-0.041432,0.966748,0.041432
2.391601,-0.082864,1.077231,0.041432
2.411601,-0.055243,1.104851,0.027621
2.431601,-0.055243,1.104851,0.027621
2.451601,-0.027621,1.229151,0.041432
2.471601,-0.027621,1.215341,0.013811
2.491601,-0.082864,1.408691,0.013811
2.511601,-0.069053,1.353451,0.0
2.531601,-0.055243,1.353451,0.041432
2.551601,-0.041432,1.477741,-0.013811
2.571601,-0.055243,1.546801,0.013811
2.591601,-0.055243,1.588231,-0.013811
2.611601,-0.069053,1.629661,0.013811
2.631601,-0.055243,1.657281,0.013811
2.651601,-0.027621,1.532981,-0.013811
2.671601,-0.027621,1.532981,-0.013811
2.691601,-0.069053,1.671091,0.0
2.711601,-0.069053,1.671091,0.0
2.731601,-0.069053,1.892061,0.013811
2.751601,-0.041432,1.892061,0.0
2.771601,-0.069053,1.740141,0.013811
2.791601,-0.041432,1.781581,0.013811
2.811601,-0.096675,1.961121,0.013811
2.831601,-0.055243,1.933491,0.013811
2.851601,-0.027621,2.043981,0.027621
2.871601,-0.055243,2.209711,0.0
2.891601,-0.013811,1.947311,-0.013811
2.911601,-0.055243,2.251141,0.0
2.931601,-0.069053,2.140651,0.0
2.951601,-0.069053,2.264951,-0.013811
2.971601,-0.041432,2.278761,-0.027621
2.991601,-0.055243,2.306381,0.027621
3.011601,-0.041432,2.334001,-0.013811
3.031601,-0.055243,2.610221,0.0
3.051601,-0.069053,2.554971,0.0
3.071601,-0.013811,2.679271,-0.027621
3.091601,-0.027621,2.817381,-0.013811
3.111601,-0.069053,2.734511,-0.027621
3.131601,-0.069053,3.135021,-0.027621
3.151601,-0.082864,2.941671,-0.041432
3.171601,-0.069053,3.383621,-0.027621
3.191601,-0.055243,3.231701,-0.013811
3.211701,-0.055243,3.314561,-0.013811
3.231601,-0.055243,3.093591,0.0
3.251601,-0.055243,3.466481,-0.013811
3.271601,-0.055243,3.300751,-0.013811
3.291601,-0.027621,3.480291,-0.013811
3.311601,-0.013811,3.466481,0.0
3.331601,-0.055243,3.107401,-0.027621
3.351601,-0.041432,3.286941,-0.013811
3.371601,-0.055243,2.582601,0.013811
3.391601,-0.041432,3.494101,-0.027621
3.411601,-0.027621,3.093591,-0.013811
3.431601,-0.041432,3.438861,-0.041432
3.451601,-0.041432,3.273131,-0.055243
3.471601,-0.055243,3.148831,-0.013811
3.491601,-0.013811,3.135021,-0.027621
3.511601,-0.013811,3.259321,-0.027621
3.531601,-0.082864,3.355991,-0.013811
