time,MA,MC,MD
0.023001,0.73208,0.41944,0.10672
0.042901,0.74728,0.42704,0.10672
0.063001,0.76256,0.43464,0.10672
0.083001,0.78544,0.44232,0.11432
0.103001,0.79304,0.44992,0.11432
0.123001,0.81592,0.4652,0.11432
0.143001,0.8388,0.4804,0.122
0.163001,0.8464,0.48808,0.122
0.183001,0.86928,0.49568,0.1296
0.203001,0.88456,0.50328,0.1296
0.223001,0.89216,0.51856,0.1296
0.243001,0.92272,0.52616,0.1372
0.262901,0.93792,0.53384,0.1372
0.283001,0.9532,0.54144,0.14488
0.303001,0.96848,0.55672,0.14488
0.323001,0.98368,0.56432,0.14488
0.343001,1.00656,0.57192,0.15248
0.362901,1.02184,0.5872,0.15248
0.383001,1.03704,0.5948,0.15248
0.403001,1.05992,0.6024,0.16008
0.423001,1.0752,0.61768,0.16008
0.443001,1.09048,0.62528,0.16776
0.462901,1.10568,0.63296,0.16776
0.483001,1.12856,0.64816,0.16776
0.503001,1.13624,0.65584,0.17536
0.523001,1.15904,0.66344,0.17536
0.543001,1.17432,0.67872,0.18296
0.563001,1.1896,0.67872,0.18296
0.583001,1.21248,0.69392,0.18296
0.603001,1.22768,0.7016,0.19064
0.623001,1.24296,0.7092,0.19064
0.643001,1.25824,0.72448,0.19064
0.663001,1.27344,0.73208,0.19824
0.683001,1.29632,0.73968,0.19824
0.703001,1.3116,0.75496,0.20584
0.723001,1.3268,0.76256,0.20584
0.743001,1.34968,0.77016,0.20584
0.762901,1.36496,0.78544,0.21352
0.783001,1.38024,0.78544,0.21352
0.803001,1.39544,0.79304,0.22112
0.822901,1.41072,0.81592,0.22112
0.843001,1.4336,0.81592,0.22112
0.862901,1.44888,0.8312,0.22872
0.883001,1.46408,0.8388,0.22872
0.903001,1.48696,0.84648,0.22872
0.923001,1.49464,0.86168,0.2364
0.942901,1.51744,0.86936,0.2364
0.962901,1.53272,0.87696,0.2364
0.983001,1.548,0.89224,0.2364
1.003001,1.57088,0.89984,0.244
1.023001,1.58608,0.90744,0.2516
1.043001,1.60136,0.92272,0.2516
1.063001,1.62424,0.93032,0.2516
1.083001,1.63184,0.938,0.2516
1.103001,1.64712,0.9532,0.25928
1.123001,1.67,0.9608,0.25928
1.143001,1.6852,0.96848,0.25928
1.163001,1.69288,0.98368,0.26688
1.182901,1.70808,0.99136,0.26688
1.203001,1.73864,0.99896,0.26688
1.223001,1.75384,1.00656,0.27448
1.242901,1.76912,1.02184,0.27448
1.263001,1.7844,1.02184,0.27448
1.282901,1.7996,1.03712,0.28208
1.303001,1.81488,1.04472,0.28208
1.323001,1.83776,1.05232,0.28976
1.342901,1.84536,1.0676,0.28976
1.362901,1.87584,1.08288,0.28976
1.383001,1.89112,1.09048,0.29736
1.403001,1.9064,1.09808,0.29736
1.423001,1.92928,1.11336,0.29736
1.442901,1.93688,1.12096,0.29736
1.462901,1.95216,1.12856,0.30496
1.482901,1.97504,1.14384,0.30496
1.503001,1.99024,1.15144,0.30496
1.523001,2.00552,1.15912,0.31264
1.542901,2.0208,1.17432,0.31264
1.562901,2.0436,1.17432,0.31264
1.583001,2.05888,1.1896,0.32024
1.603001,2.07416,1.1972,0.32024
1.623001,2.08936,1.21248,0.32784
1.642901,2.10464,1.22008,0.32784
1.663001,2.12752,1.22776,0.32784
1.683001,2.1428,1.24296,0.33552
1.703001,2.158,1.24296,0.33552
