time,MA,MC,MD,MF
0.016947,0.19335,0.345267,0.069053,0.151917
0.036947,0.220971,0.262403,0.138106,0.165728
0.056947,0.207161,0.262403,0.069053,0.165728
0.076947,0.234782,0.303835,0.096674,0.124296
0.096947,0.207161,0.290024,0.096674,0.151917
0.116947,0.220971,0.276213,0.110485,0.165728
0.136947,0.220971,0.317645,0.096674,0.138107
0.156947,0.220971,0.262403,0.082864,0.151917
0.176947,0.248593,0.317645,0.096674,0.165728
0.196947,0.207161,0.345267,0.110485,0.179539
0.216947,0.234782,0.276213,0.055243,0.151917
0.236947,0.290025,0.317645,0.110485,0.138107
0.256947,0.19335,0.345267,0.096674,0.165728
0.276947,0.248593,0.317645,0.082864,0.165728
0.296947,0.220971,0.331456,0.138106,0.19335
0.316947,0.234782,0.317645,0.082864,0.165728
0.336947,0.262403,0.303835,0.110485,0.20716
0.356947,0.207161,0.303835,0.082864,0.19335
0.376947,0.207161,0.317645,0.110485,0.165728
0.396947,0.276214,0.317645,0.124296,0.179539
0.416947,0.207161,0.317645,0.110485,0.179539
0.436947,0.234782,0.331456,0.082864,0.179539
0.456947,0.220971,0.331456,0.124296,0.165728
0.476947,0.207161,0.317645,0.110485,0.151917
0.496947,0.248593,0.317645,0.110485,0.20716
0.516947,0.220971,0.303835,0.096674,0.165728
0.536947,0.220971,0.317645,0.096674,0.165728
0.556947,0.290025,0.345267,0.110485,0.179539
0.576947,0.248593,0.345267,0.124296,0.20716
0.596947,0.220971,0.359077,0.124296,0.179539
0.616947,0.262403,0.345267,0.151917,0.179539
0.636947,0.262403,0.359077,0.124296,0.19335
0.656947,0.276214,0.372888,0.124296,0.179539
0.676947,1.892059,0.483373,-0.745777,0.759587
0.696947,-0.524805,0.276213,0.220971,-0.069053
0.716947,0.759588,0.428131,-0.151918,0.317646
0.736947,0.372889,0.41432,-0.138107,0.276214
0.756947,0.234782,0.400509,0.0,0.20716
0.776947,0.59386,0.469563,-0.151918,0.345267
0.796947,0.303835,0.400509,0.0,0.276214
0.816947,0.580049,0.469563,-0.082864,0.303835
0.836947,0.497185,0.41432,-0.041432,0.372888
0.856947,0.566238,0.497184,-0.055243,0.317646
