time,MA,MC,MD,MF
0.016947,4.4536,1.42592,0.44232,0.73968
0.036947,4.492,1.4412,0.44232,0.74728
0.056947,4.5296,1.45648,0.44992,0.75488
0.076947,4.5608,1.46408,0.44992,0.76256
0.096947,4.6064,1.47936,0.45752,0.76256
0.116947,4.6368,1.48696,0.45752,0.77016
0.136947,4.6752,1.49456,0.4652,0.78544
0.156947,4.7128,1.51744,0.4652,0.78544
0.176947,4.7512,1.52512,0.4728,0.79304
0.196947,4.7968,1.53272,0.4728,0.80064
0.216947,4.8352,1.548,0.4804,0.80064
0.236947,4.8656,1.5556,0.4804,0.80824
0.256947,4.9112,1.5632,0.48808,0.81592
0.276947,4.9416,1.58608,0.48808,0.82352
0.296947,4.98,1.59368,0.49568,0.83112
0.316947,5.0256,1.60896,0.50328,0.83112
0.336947,5.056,1.62424,0.50328,0.8388
0.356947,5.1016,1.63184,0.50328,0.8464
0.376947,5.132,1.64712,0.50328,0.854
0.396947,5.1704,1.66232,0.51096,0.86168
0.416947,5.224,1.67,0.51096,0.86928
0.436947,5.2544,1.6852,0.51856,0.87688
0.456947,5.2928,1.70048,0.52616,0.87688
0.476947,5.3384,1.70808,0.52616,0.88456
0.496947,5.3688,1.73096,0.53384,0.89216
0.516947,5.4144,1.73864,0.53384,0.89976
0.536947,5.4528,1.74624,0.54144,0.90744
0.556947,5.4832,1.75384,0.54144,0.91504
0.576947,5.5136,1.77672,0.54904,0.92264
0.596947,5.5592,1.78432,0.54904,0.92264
0.616947,5.5896,1.792,0.55672,0.93032
0.636947,5.636,1.8072,0.55672,0.93792
0.656947,5.6736,1.81488,0.56432,0.94552
0.676947,5.788,1.83776,0.51856,0.98368
0.696947,7.1304,1.93688,-0.09152,1.4336
0.716947,7.9688,1.99784,-0.54136,1.70048
0.736947,8.8384,2.05888,-0.976,1.98264
0.756947,9.8984,2.1504,-1.50216,2.31816
0.776947,10.7368,2.21136,-1.9216,2.60024
0.796947,11.736,2.29528,-2.42488,2.91288
0.816947,12.636,2.34864,-2.89008,3.21032
0.836947,13.5736,2.43256,-3.3552,3.50768
0.856947,14.5192,2.50112,-3.8356,3.828
