ééå±âÒêî,éûä‘[sec],à⁄ìÆó [mm],â◊èd[N]
1,0.01,0,2.98023223876953E-02
1,0.07,0,0.03814697265625
1,0.13,0,5.48362731933594E-02
1,0.19,0,5.12599945068359E-02
1,0.25,2.66663990914822E-02,3.75509262084961E-02
1,0.31,0.109998896252364,3.45706939697266E-02
1,0.37,0.209997892845422,3.03983688354492E-02
1,0.43,0.30999688943848,3.99351119995117E-02
1,0.49,0.409995886031538,4.70876693725586E-02
1,0.55,0.509994882624596,5.12599945068359E-02
1,0.61,0.609993879217654,4.05311584472656E-02
1,0.67,0.709992875810713,3.27825546264648E-02
1,0.73,0.809991872403771,3.87430191040039E-02
1,0.79,0.909990868996829,5.30481338500977E-02
1,0.85,1.00998986558989,6.67572021484375E-02
1,0.91,1.10998886218295,7.92741775512695E-02
1,0.97,1.209987858776,0.104308128356934
1,1.03,1.30998685536906,0.116825103759766
1,1.09,1.40998585196212,0.146627426147461
1,1.15,1.50998484855518,0.160336494445801
1,1.21,1.60998384514824,0.16629695892334
1,1.27,1.70998284174129,0.180602073669434
1,1.33,1.80998183833435,0.191330909729004
1,1.39,1.90998083492741,0.203251838684082
1,1.45,2.00997983152047,0.20146369934082
1,1.51,2.10997882811353,0.203251838684082
1,1.57,2.21331112459302,0.217556953430176
1,1.63,2.31331012118608,0.238418579101563
1,1.69,2.41330911777914,0.258088111877441
1,1.75,2.51330811437219,0.262856483459473
1,1.81,2.61330711096525,0.262856483459473
1,1.87,2.71330610755831,0.264644622802734
1,1.93,2.81330510415137,0.272989273071289
1,1.99,2.91330410074443,0.278353691101074
1,2.05,3.01330309733748,0.290274620056152
1,2.11,3.11330209393054,0.304579734802246
1,2.17,3.2133010905236,0.312924385070801
1,2.23,3.31330008711666,0.320672988891602
1,2.29,3.41329908370972,0.325441360473633
1,2.35,3.51329808030277,0.323057174682617
1,2.41,3.61329707689583,0.346899032592773
1,2.47,3.71329607348889,0.357627868652344
1,2.53,3.81329507008195,0.364184379577637
1,2.59,3.91329406667501,0.372529029846191
1,2.65,4.01329306326807,0.37848949432373
1,2.71,4.11329205986112,0.386238098144531
1,2.77,4.21662435634062,0.406503677368164
1,2.83,4.31662335293368,0.412464141845703
1,2.89,4.41662234952673,0.414848327636719
1,2.95,4.51662134611979,0.410079956054688
1,3.01,4.61662034271285,0.420808792114258
1,3.07,4.71661933930591,0.435113906860352
1,3.13,4.81661833589897,0.441074371337891
1,3.19,4.91661733249202,0.441670417785645
1,3.25,5.01661632908508,0.455379486083984
1,3.31,5.11661532567814,0.460147857666016
1,3.37,5.2166143222712,0.475049018859863
1,3.43,5.31661331886426,0.477433204650879
1,3.49,5.41661231545731,0.473856925964355
1,3.55,5.51661131205037,0.472664833068848
1,3.61,5.61661030864343,0.475645065307617
1,3.67,5.71660930523649,0.497102737426758
1,3.73,5.81660830182955,0.502467155456543
1,3.79,5.9166072984226,0.506043434143066
1,3.85,6.01660629501566,0.518560409545898
1,3.91,6.11660529160872,0.523924827575684
1,3.97,6.21993758808821,0.538229942321777
1,4.03,6.31993658468127,0.552535057067871
1,4.09,6.41993558127433,0.577569007873535
1,4.15,6.51993457786739,0.587105751037598
1,4.21,6.61993357446045,0.588893890380859
1,4.27,6.7199325710535,0.590085983276367
