ééå±âÒêî,éûä‘[sec],à⁄ìÆó [mm],â◊èd[N]
1,0.01,0,-1.07288360595703E-02
1,0.07,0,0
1,0.13,0,0
1,0.19,0,-5.36441802978516E-03
1,0.25,2.66663990914822E-02,5.96046447753906E-03
1,0.31,0.109998896252364,8.34465026855469E-03
1,0.37,0.209997892845422,1.54972076416016E-02
1,0.43,0.30999688943848,2.50339508056641E-02
1,0.49,0.409995886031538,5.12599945068359E-02
1,0.55,0.509994882624596,7.39097595214844E-02
1,0.61,0.609993879217654,0.088810920715332
1,0.67,0.709992875810713,0.109672546386719
1,0.73,0.809991872403771,0.125765800476074
1,0.79,0.909990868996829,0.152587890625
1,0.85,1.00998986558989,0.181198120117188
1,0.91,1.10998886218295,0.196099281311035
1,0.97,1.209987858776,0.203251838684082
1,1.03,1.30998685536906,0.229477882385254
1,1.09,1.40998585196212,0.24259090423584
1,1.15,1.50998484855518,0.266432762145996
1,1.21,1.60998384514824,0.286698341369629
1,1.27,1.70998284174129,0.300407409667969
1,1.33,1.80998183833435,0.311732292175293
1,1.39,1.91331413481385,0.324249267578125
1,1.45,2.0133131314069,0.334978103637695
1,1.51,2.11331212799996,0.358819961547852
1,1.57,2.21331112459302,0.391602516174316
1,1.63,2.31331012118608,0.414252281188965
1,1.69,2.41330911777914,0.424981117248535
1,1.75,2.51330811437219,0.43034553527832
1,1.81,2.61330711096525,0.451803207397461
1,1.87,2.71330610755831,0.483393669128418
1,1.93,2.81330510415137,0.500082969665527
1,1.99,2.91330410074443,0.518560409545898
1,2.05,3.01330309733748,0.541210174560547
1,2.11,3.11330209393054,0.562667846679688
1,2.17,3.2133010905236,0.590682029724121
1,2.23,3.31330008711666,0.623464584350586
1,2.29,3.41329908370972,0.63776969909668
1,2.35,3.51329808030277,0.658035278320313
1,2.41,3.61329707689583,0.684857368469238
1,2.47,3.71329607348889,0.712871551513672
1,2.53,3.81329507008195,0.734925270080566
1,2.59,3.91329406667501,0.764727592468262
1,2.65,4.0166263631545,0.797510147094727
1,2.71,4.11662535974756,0.826120376586914
1,2.77,4.21662435634062,0.84996223449707
1,2.83,4.31662335293368,0.865459442138672
1,2.89,4.41662234952673,0.889897346496582
1,2.95,4.51662134611979,0.919103622436523
1,3.01,4.61662034271285,0.954866409301758
1,3.07,4.71661933930591,1.00135803222656
1,3.13,4.81661833589897,1.03890895843506
1,3.19,4.91661733249202,1.06632709503174
1,3.25,5.01661632908508,1.08957290649414
1,3.31,5.11661532567814,1.12652778625488
1,3.37,5.2166143222712,1.15275382995605
1,3.43,5.31661331886426,1.18851661682129
1,3.49,5.41661231545731,1.23023986816406
1,3.55,5.51661131205037,1.27017498016357
1,3.61,5.61661030864343,1.30891799926758
1,3.67,5.71660930523649,1.34110450744629
1,3.73,5.81994160171598,1.36971473693848
1,3.79,5.91994059830904,1.38163566589355
1,3.85,6.0199395949021,1.41263008117676
1,3.91,6.11993859149516,1.44124031066895
1,3.97,6.21993758808821,1.46806240081787
1,4.03,6.31993658468127,1.50978565216064
1,4.09,6.41993558127433,1.55448913574219
1,4.15,6.51993457786739,1.60455703735352
1,4.21,6.61993357446045,1.63614749908447
1,4.27,6.7199325710535,1.66714191436768
1,4.33,6.81993156764656,1.70767307281494
1,4.39,6.91993056423962,1.74880027770996
1,4.45,7.01992956083268,1.78337097167969
1,4.51,7.11992855742574,1.81496143341064
1,4.57,7.2199275540188,1.84416770935059
1,4.63,7.31992655061185,1.87337398529053
1,4.69,7.41992554720491,1.90019607543945
1,4.75,7.51992454379797,1.9305944442749
1,4.81,7.61992354039103,1.95682048797607
1,4.87,7.72325583687052,1.99437141418457
1,4.93,7.82325483346358,2.03251838684082
1,4.99,7.92325383005664,2.07424163818359
1,5.05,8.0232528266497,2.09391117095947
1,5.11,8.12325182324276,2.10940837860107
1,5.17,8.22325081983581,2.14695930480957
1,5.23,8.32324981642887,2.18629837036133
1,5.29,8.42324881302193,2.22682952880859
1,5.35,8.52324780961499,2.25365161895752
1,5.41,8.62324680620804,2.28643417358398
1,5.47,8.7232458028011,2.30252742767334
1,5.53,8.82324479939416,2.32517719268799
1,5.59,8.92324379598722,2.36332416534424
1,5.65,9.02324279258028,2.40087509155273
1,5.71,9.12324178917333,2.42531299591064
1,5.77,9.22324078576639,2.4569034576416
1,5.83,9.32323978235945,2.49683856964111
1,5.89,9.42323877895251,2.53975391387939
1,5.95,9.52323777554557,2.58505344390869
1,6.01,9.62657007202506,2.62439250946045
1,6.07,9.72656906861812,2.66909599304199
1,6.13,9.82656806521118,2.70187854766846
1,6.19,9.92656706180424,2.72274017333984
1,6.25,10.0265660583973,2.74837017059326
1,6.31,10.1265650549904,2.7763843536377
1,6.37,10.2265640515834,2.82049179077148
1,6.43,10.3265630481765,2.85685062408447
1,6.49,10.4265620447695,2.89201736450195
1,6.55,10.5265610413626,2.93493270874023
1,6.61,10.6265600379556,2.9754638671875
1,6.67,10.7265590345487,2.99751758575439
1,6.73,10.8265580311418,3.0207633972168
1,6.79,10.9265570277348,3.04579734802246
1,6.85,11.0265560243279,3.07619571685791
1,6.91,11.1265550209209,3.12387943267822
1,6.97,11.226554017514,3.1590461730957
1,7.03,11.326553014107,3.1810998916626
1,7.09,11.4265520107001,3.21924686431885
1,7.15,11.5298843071796,3.25620174407959
1,7.21,11.6298833037727,3.2961368560791
1,7.27,11.7298823003657,3.33249568939209
1,7.33,11.8298812969588,3.37183475494385
1,7.39,11.9298802935518,3.41475009918213
1,7.45,12.0298792901449,3.46183776855469
1,7.51,12.1298782867379,3.50654125213623
1,7.57,12.229877283331,3.55005264282227
1,7.63,12.3298762799241,3.59237194061279
1,7.69,12.4298752765171,3.64363193511963
1,7.75,12.5298742731102,3.68475914001465
1,7.81,12.6298732697032,3.73303890228271
1,7.87,12.7298722662963,3.78966331481934
1,7.93,12.8298712628894,3.83973121643066
1,7.99,12.9298702594824,3.89635562896729
1,8.05,13.0298692560755,3.96370887756348
1,8.11,13.1298682526685,4.03225421905518
1,8.17,13.2298672492616,4.11331653594971
1,8.23,13.3331995457411,4.18722629547119
1,8.29,13.4331985423341,4.25636768341064
1,8.35,13.5331975389272,4.34041023254395
1,8.41,13.6331965355203,4.42624092102051
1,8.47,13.7331955321133,4.52399253845215
1,8.53,13.8331945287064,4.6086311340332
1,8.59,13.9331935252994,4.68611717224121
1,8.65,14.0331925218925,4.78208065032959
1,8.71,14.1331915184855,4.89592552185059
1,8.77,14.2331905150786,5.0055980682373
1,8.83,14.3331895116717,5.12361526489258
1,8.89,14.4331885082647,5.24759292602539
1,8.95,14.5331875048578,5.37633895874023
1,9.01,14.6331865014508,5.50627708435059
1,9.07,14.7331854980439,5.62846660614014
1,9.13,14.833184494637,5.74290752410889
1,9.19,14.93318349123,5.87046146392822
1,9.25,15.0331824878231,6.00457191467285
1,9.31,15.1331814844161,6.15239143371582
1,9.37,15.2331804810092,6.27219676971436
1,9.43,15.3365127774887,6.39200210571289
