ééå±âÒêî,éûä‘[sec],à⁄ìÆó [mm],â◊èd[N]
1,0.04,0,5.90085983276367E-02
1,0.1,0,6.19888305664063E-02
1,0.16,0,7.27176666259766E-02
1,0.22,3.33329988643527E-03,6.85453414916992E-02
1,0.28,0.036666298750788,0.127553939819336
1,0.34,0.086665797047317,0.663995742797852
1,0.4,0.136665295343846,2.58684158325195
1,0.46,0.186664793640375,5.93066215515137
1,0.52,0.236664291936904,9.55343246459961
1,0.58,0.286663790233433,12.9407644271851
1,0.64,0.336663288529962,16.1409378051758
1,0.7,0.386662786826491,19.3476676940918
1,0.76,0.43666228512302,22.5687026977539
1,0.82,0.483328483533114,25.7420539855957
1,0.88,0.533327981829643,28.8808345794678
1,0.94,0.583327480126172,31.9886207580566
1,1,0.633326978422701,35.0785255432129
1,1.06,0.68332647671923,38.1183624267578
1,1.12,0.733325975015759,41.1367416381836
1,1.18,0.783325473312289,44.090747833252
1,1.24,0.833324971608818,47.0089912414551
1,1.3,0.883324469905347,49.896240234375
1,1.36,0.933323968201876,52.7453422546387
1,1.42,0.983323466498405,55.5419921875
1,1.48,1.03332296479493,58.3076477050781
1,1.54,1.08332246309146,61.0494613647461
1,1.6,1.13332196138799,63.7435913085938
1,1.66,1.18332145968452,66.4091110229492
1,1.72,1.23332095798105,68.9506530761719
1,1.78,1.28332045627758,71.4731216430664
1,1.84,1.33331995457411,73.9765167236328
1,1.9,1.38331945287064,76.4036178588867
1,1.96,1.43331895116717,78.8116455078125
1,2.02,1.4833184494637,81.1243057250977
1,2.08,1.53331794776022,83.4178924560547
1,2.14,1.58331744605675,85.6637954711914
1,2.2,1.63331694435328,87.8620147705078
1,2.26,1.68331644264981,90.0363922119141
1,2.32,1.73331594094634,92.1773910522461
1,2.38,1.78331543924287,94.3279266357422
1,2.44,1.8333149375394,96.430778503418
1,2.5,1.88331443583593,98.5097885131836
1,2.56,1.93331393413246,100.507736206055
1,2.62,1.98331343242899,102.548599243164
1,2.68,2.03331293072552,104.532241821289
1,2.74,2.08331242902204,106.477737426758
1,2.8,2.13331192731857,108.418464660645
1,2.86,2.1833114256151,110.330581665039
1,2.92,2.23331092391163,112.166404724121
1,2.98,2.28331042220816,113.968849182129
1,3.04,2.33330992050469,115.723609924316
1,3.1,2.38330941880122,117.464065551758
1,3.16,2.43330891709775,119.171142578125
1,3.22,2.48330841539428,120.830535888672
1,3.28,2.53330791369081,122.451782226563
1,3.34,2.58330741198733,124.092102050781
1,3.4,2.63330691028386,125.665664672852
1,3.46,2.68330640858039,127.21061706543
1,3.52,2.73330590687692,128.822326660156
1,3.58,2.78330540517345,130.443572998047
1,3.64,2.83330490346998,131.969451904297
1,3.7,2.88330440176651,133.61930847168
1,3.76,2.93330390006304,135.183334350586
1,3.82,2.98330339835957,136.804580688477
1,3.88,3.0333028966561,138.435363769531
1,3.94,3.08330239495263,140.008926391602
1,4,3.13330189324915,141.544342041016
1,4.06,3.18330139154568,143.089294433594
1,4.12,3.23330088984221,144.60563659668
1,4.18,3.28330038813874,146.055221557617
1,4.24,3.33329988643527,147.562026977539
1,4.3,3.3832993847318,149.030685424805
1,4.36,3.43329888302833,150.556564331055
1,4.42,3.48329838132486,151.92985534668
1,4.48,3.53329787962139,153.398513793945
1,4.54,3.58329737791792,154.876708984375
1,4.6,3.63329687621445,156.288146972656
1,4.66,3.68329637451097,157.680511474609
1,4.72,3.7332958728075,159.120559692383
1,4.78,3.78329537110403,160.5224609375
1,4.84,3.83329486940056,161.876678466797
1,4.9,3.88329436769709,163.211822509766
1,4.96,3.93329386599362,164.508819580078
1,5.02,3.98329336429015,165.920257568359
1,5.08,4.03329286258668,167.264938354492
1,5.14,4.08329236088321,168.657302856445
1,5.2,4.13329185917974,170.078277587891
1,5.26,4.18329135747626,171.432495117188
1,5.32,4.23329085577279,172.815322875977
1,5.38,4.28329035406932,174.102783203125
1,5.44,4.33328985236585,175.495147705078
1,5.5,4.38328935066238,176.753997802734
1,5.56,4.43328884895891,178.031921386719
1,5.62,4.48328834725544,179.262161254883
1,5.68,4.53328784555197,180.540084838867
1,5.74,4.5832873438485,181.751251220703
1,5.8,4.63328684214503,183.000564575195
1,5.86,4.68328634044155,184.164047241211
1,5.92,4.73328583873808,185.403823852539
1,5.98,4.78328533703461,186.538696289063
1,6.04,4.83328483533114,187.807083129883
1,6.1,4.88328433362767,188.922882080078
1,6.16,4.9332838319242,189.971923828125
1,6.22,4.98328333022073,191.144943237305
1,6.28,5.03328282851726,192.203521728516
1,6.34,5.08328232681379,193.367004394531
1,6.4,5.13328182511032,194.473266601563
1,6.46,5.18328132340685,195.579528808594
1,6.52,5.23328082170337,196.695327758789
1,6.58,5.2832803199999,197.830200195313
1,6.64,5.33327981829643,198.888778686523
1,6.7,5.37994601670653,199.93782043457
1,6.76,5.42994551500306,200.948715209961
1,6.82,5.47994501329958,201.997756958008
1,6.88,5.52994451159611,202.999114990234
1,6.94,5.57994400989264,204.000473022461
1,7,5.62994350818917,204.916000366211
1,7.06,5.6799430064857,205.955505371094
1,7.12,5.72994250478223,206.842422485352
1,7.18,5.77994200307876,207.805633544922
1,7.24,5.82994150137529,208.797454833984
1,7.3,5.87994099967182,209.941864013672
1,7.36,5.92994049796835,211.067199707031
1,7.42,5.97993999626487,212.182998657227
1,7.48,6.02660619467497,213.36555480957
1,7.54,6.0299394945614,213.308334350586
1,7.6,6.0299394945614,211.334228515625
1,7.66,6.0199395949021,209.026336669922
1,7.72,5.97660669637844,205.974578857422
1,7.78,5.92660719808191,201.492309570313
1,7.84,5.87660769978538,196.475982666016
1,7.9,5.82660820148885,191.764831542969
1,7.96,5.77660870319232,187.397003173828
1,8.02,5.72660920489579,183.315277099609
1,8.08,5.67660970659927,179.49104309082
1,8.14,5.62661020830274,175.771713256836
1,8.2,5.57661071000621,172.16682434082
1,8.26,5.52661121170968,168.638229370117
1,8.32,5.47661171341315,165.205001831055
1,8.38,5.42661221511662,161.79084777832
1,8.44,5.37661271682009,158.557891845703
1,8.5,5.32661321852356,155.296325683594
1,8.56,5.27661372022703,152.187347412109
1,8.62,5.2266142219305,149.087905883789
1,8.68,5.17661472363397,145.988464355469
1,8.74,5.12661522533745,142.927169799805
1,8.8,5.07661572704092,139.942169189453
1,8.86,5.02661622874439,137.033462524414
1,8.92,4.97661673044786,134.115219116211
1,8.98,4.92661723215133,131.206512451172
1,9.04,4.8766177338548,128.307342529297
1,9.1,4.82661823555827,125.532150268555
1,9.16,4.77661873726174,122.785568237305
1,9.22,4.72661923896521,120.067596435547
1,9.28,4.67661974066868,117.330551147461
1,9.34,4.62662024237216,114.617347717285
1,9.4,4.57662074407563,111.947059631348
1,9.46,4.5266212457791,109.281539916992
1,9.52,4.47662174748257,106.658935546875
1,9.58,4.42662224918604,104.055404663086
1,9.64,4.37662275088951,101.513862609863
1,9.7,4.32995655247942,99.0104675292969
1,9.76,4.27662375429645,96.5213775634766
1,9.82,4.22995755588636,94.1133499145508
1,9.88,4.17662475770339,91.7911529541016
1,9.94,4.1299585592933,89.4784927368164
1,10,4.07995906099677,87.0180130004883
1,10.06,4.02995956270024,84.5909118652344
1,10.12,3.97996006440371,82.1495056152344
1,10.18,3.92996056610718,79.7414779663086
1,10.24,3.87996106781066,77.4002075195313
1,10.3,3.82996156951413,75.078010559082
1,10.36,3.7799620712176,72.7176666259766
1,10.42,3.72996257292107,70.4240798950195
1,10.48,3.67996307462454,68.1686401367188
1,10.54,3.62996357632801,65.8988952636719
1,10.6,3.57996407803148,63.6053085327148
1,10.66,3.52996457973495,61.3880157470703
1,10.72,3.47996508143842,59.1421127319336
1,10.78,3.42996558314189,56.9510459899902
1,10.84,3.37996608484536,54.7909736633301
1,10.9,3.32996658654884,52.6332855224609
1,10.96,3.27996708825231,50.4255294799805
1,11.02,3.22996758995578,48.2654571533203
1,11.08,3.17996809165925,46.1006164550781
1,11.14,3.12996859336272,43.938159942627
1,11.2,3.07996909506619,41.80908203125
1,11.26,3.02996959676966,39.7229194641113
1,11.32,2.97997009847313,37.6629829406738
1,11.38,2.9299706001766,35.6054306030273
1,11.44,2.87997110188007,33.5526466369629
1,11.5,2.82997160358354,31.4974784851074
1,11.56,2.77997210528702,29.5042991638184
1,11.62,2.72997260699049,27.5123119354248
1,11.68,2.67997310869396,25.5084037780762
1,11.74,2.62997361039743,23.496150970459
1,11.8,2.5799741121009,21.5232372283936
1,11.86,2.52997461380437,19.5837020874023
1,11.92,2.47997511550784,17.6799297332764
1,11.98,2.42997561721131,15.8596038818359
1,12.04,2.37997611891478,14.0833854675293
1,12.1,2.32997662061825,12.3494863510132
