ééå±âÒêî,éûä‘[sec],à⁄ìÆó [mm],â◊èd[N]
1,0.06,0,-2.26497650146484E-02
1,0.12,0,-1.60932540893555E-02
1,0.18,0,-2.20537185668945E-02
1,0.24,1.66664994321764E-02,-2.20537185668945E-02
1,0.3,9.66656967066228E-02,0.534653663635254
1,0.36,0.193331393413246,2.60829925537109
1,0.42,0.293330390006304,5.4466724395752
1,0.48,0.393329386599362,8.23616981506348
1,0.54,0.49332838319242,10.7866525650024
1,0.6,0.593327379785478,13.4372711181641
1,0.66,0.693326376378536,16.3888931274414
1,0.72,0.793325372971594,19.2892551422119
1,0.78,0.893324369564652,22.0096111297607
1,0.84,0.993323366157711,25.0327587127686
1,0.9,1.09332236275077,28.3157825469971
1,0.96,1.19332135934383,31.7573547363281
1,1.02,1.29332035593688,35.3050231933594
1,1.08,1.39331935252994,38.9981269836426
1,1.14,1.493318349123,42.8915023803711
1,1.2,1.59665064560249,47.0471382141113
1,1.26,1.69664964219555,51.3219833374023
1,1.32,1.79664863878861,55.7851791381836
1,1.38,1.89664763538167,60.4057312011719
1,1.44,1.99664663197473,65.2647018432617
1,1.5,2.09664562856779,70.3191757202148
1,1.56,2.19664462516084,75.5786895751953
1,1.62,2.2966436217539,81.0098648071289
1,1.68,2.39664261834696,86.7366790771484
1,1.74,2.49664161494002,92.768669128418
1,1.8,2.59664061153308,98.9437103271484
1,1.86,2.69663960812613,105.26180267334
1,1.92,2.79663860471919,111.837387084961
1,1.98,2.89663760131225,118.71337890625
1,2.04,2.99996989779174,125.703811645508
1,2.1,3.0999688943848,132.532119750977
1,2.16,3.19996789097786,139.274597167969
1,2.22,3.29996688757092,146.026611328125
1,2.28,3.39996588416398,152.89306640625
1,2.34,3.49996488075703,159.826278686523
1,2.4,3.59996387735009,166.444778442383
1,2.46,3.69996287394315,172.42431640625
1,2.52,3.79996187053621,177.297592163086
1,2.58,3.89996086712927,181.62727355957
1,2.64,3.99995986372232,185.766220092773
1,2.7,4.09995886031538,190.286636352539
1,2.76,4.19995785690844,194.931030273438
1,2.82,4.2999568535015,199.213027954102
1,2.88,4.39995585009456,202.798843383789
