ééå±âÒêî,éûä‘[sec],à⁄ìÆó [mm],â◊èd[N]
1,0.04,0,2.08616256713867E-02
1,0.1,0,0.025629997253418
1,0.16,0,2.62260437011719E-02
1,0.22,3.33329988643527E-03,3.09944152832031E-02
1,0.28,6.66659977287054E-02,3.09944152832031E-02
1,0.34,0.159998394548893,7.15255737304688E-02
1,0.4,0.259997391141951,0.151395797729492
1,0.46,0.359996387735009,0.245571136474609
1,0.52,0.459995384328067,0.360608100891113
1,0.58,0.559994380921125,0.476837158203125
1,0.64,0.659993377514184,0.578165054321289
1,0.7,0.759992374107242,0.682473182678223
1,0.76,0.8599913707003,0.793337821960449
1,0.82,0.959990367293358,0.903010368347168
1,0.88,1.06332266377285,1.00851058959961
1,0.94,1.16332166036591,1.10983848571777
1,1,1.26332065695897,1.20580196380615
1,1.06,1.36331965355203,1.30653381347656
1,1.12,1.46331865014508,1.40845775604248
1,1.18,1.56331764673814,1.50144100189209
1,1.24,1.6633166433312,1.59561634063721
1,1.3,1.76331563992426,1.7082691192627
1,1.36,1.86331463651732,1.81913375854492
1,1.42,1.96664693299681,1.92463397979736
1,1.48,2.06664592958987,2.04861164093018
1,1.54,2.16664492618293,2.14755535125732
1,1.6,2.26664392277598,2.26140022277832
1,1.66,2.36664291936904,2.38001346588135
1,1.72,2.4666419159621,2.4724006652832
1,1.78,2.56664091255516,2.56836414337158
1,1.84,2.66663990914822,2.67446041107178
1,1.9,2.76663890574127,2.75671482086182
1,1.96,2.86663790233433,2.84552574157715
1,2.02,2.96997019881383,2.93135643005371
1,2.08,3.06996919540688,3.02016735076904
1,2.14,3.16996819199994,3.12924385070801
1,2.2,3.269967188593,3.21626663208008
1,2.26,3.36996618518606,3.30805778503418
1,2.32,3.46996518177912,3.39984893798828
1,2.38,3.56996417837217,3.49760055541992
1,2.44,3.66996317496523,3.60012054443359
1,2.5,3.76996217155829,3.6853551864624
1,2.56,3.87329446803778,3.75330448150635
1,2.62,3.97329346463084,3.84330749511719
1,2.68,4.0732924612239,3.93867492675781
1,2.74,4.17329145781696,4.03821468353271
1,2.8,4.27329045441002,4.11748886108398
1,2.86,4.37328945100307,4.20033931732178
1,2.92,4.47328844759613,4.27842140197754
1,2.98,4.57328744418919,4.36067581176758
1,3.04,4.67328644078225,4.44650650024414
1,3.1,4.77328543737531,4.53591346740723
1,3.16,4.8766177338548,4.62234020233154
1,3.22,4.97661673044786,4.69565391540527
1,3.28,5.07661572704092,4.7612190246582
1,3.34,5.17661472363397,4.83453273773193
1,3.4,5.27661372022703,4.9126148223877
1,3.46,5.37661271682009,4.98414039611816
1,3.52,5.47661171341315,5.04434108734131
1,3.58,5.57661071000621,5.11348247528076
1,3.64,5.67660970659927,5.18858432769775
1,3.7,5.77994200307876,5.26607036590576
1,3.76,5.87994099967182,5.32865524291992
1,3.82,5.97993999626487,5.39004802703857
1,3.88,6.07993899285793,5.46693801879883
1,3.94,6.17993798945099,5.55276870727539
1,4,6.27993698604405,5.62667846679688
1,4.06,6.37993598263711,5.70118427276611
1,4.12,6.47993497923017,5.7685375213623
1,4.18,6.57993397582322,5.8448314666748
1,4.24,6.68326627230272,5.91278076171875
1,4.3,6.78326526889578,5.99980354309082
1,4.36,6.88326426548883,6.07311725616455
1,4.42,6.98326326208189,6.14821910858154
1,4.48,7.08326225867495,6.22451305389404
1,4.54,7.18326125526801,6.31034374237061
1,4.6,7.28326025186107,6.38723373413086
1,4.66,7.38325924845412,6.47485256195068
1,4.72,7.48325824504718,6.55114650726318
1,4.78,7.58659054152668,6.62267208099365
1,4.84,7.68658953811973,6.70790672302246
1,4.9,7.78658853471279,6.79850578308105
1,4.96,7.88658753130585,6.89029693603516
1,5.02,7.98658652789891,6.97314739227295
1,5.08,8.08658552449197,7.06076622009277
1,5.14,8.18658452108502,7.14480876922607
1,5.2,8.28658351767808,7.21931457519531
1,5.26,8.38658251427114,7.31170177459717
1,5.32,8.4865815108642,7.4160099029541
1,5.38,8.58991380734369,7.50601291656494
1,5.44,8.68991280393675,7.60734081268311
1,5.5,8.78991180052981,7.71224498748779
1,5.56,8.88991079712287,7.81357288360596
1,5.62,8.98990979371592,7.91430473327637
1,5.68,9.08990879030898,8.02695751190186
1,5.74,9.18990778690204,8.14616680145264
1,5.8,9.2899067834951,8.25881958007813
1,5.86,9.38990578008816,8.37624073028564
1,5.92,9.49323807656765,8.48889350891113
1,5.98,9.59323707316071,8.61167907714844
1,6.04,9.69323606975377,8.73863697052002
1,6.1,9.79323506634682,8.86082649230957
1,6.16,9.89323406293988,8.98957252502441
1,6.22,9.99323305953294,9.116530418396
1,6.28,10.093232056126,9.25302505493164
1,6.34,10.1932310527191,9.38355922698975
1,6.4,10.2932300493121,9.4980001449585
1,6.46,10.3932290459052,9.62555408477783
1,6.52,10.4965613423847,9.75728034973145
1,6.58,10.5965603389777,9.89437103271484
1,6.64,10.6965593355708,10.039210319519
1,6.7,10.7965583321638,10.1864337921143
1,6.76,10.8965573287569,10.3199481964111
1,6.82,10.99655632535,10.4588270187378
1,6.88,11.096555321943,10.6114149093628
1,6.94,11.1965543185361,10.7556581497192
1,7,11.2965533151291,10.8999013900757
1,7.06,11.3998856116086,11.0477209091187
1,7.12,11.4998846082017,11.1734867095947
1,7.18,11.5998836047947,11.3052129745483
1,7.24,11.6998826013878,11.4333629608154
1,7.3,11.7998815979809,11.5668773651123
1,7.36,11.8998805945739,11.7111206054688
1,7.42,11.999879591167,11.8452310562134
1,7.48,12.09987858776,11.9739770889282
1,7.54,12.1998775843531,12.1080875396729
1,7.6,12.3032098808326,12.2374296188354
1,7.66,12.4032088774256,12.3757123947144
1,7.72,12.5032078740187,12.5187635421753
1,7.78,12.6032068706118,12.6612186431885
1,7.84,12.7032058672048,12.7881765365601
1,7.9,12.8032048637979,12.9210948944092
1,7.96,12.9032038603909,13.0534172058105
1,8.02,13.003202856984,13.1922960281372
1,8.08,13.103201853577,13.3216381072998
1,8.14,13.2065341500565,13.4545564651489
1,8.2,13.3065331466496,13.587474822998
1,8.26,13.4065321432427,13.7156248092651
1,8.32,13.5065311398357,13.8497352600098
1,8.38,13.6065301364288,13.9927864074707
1,8.44,13.7065291330218,14.1322612762451
1,8.5,13.8065281296149,14.263391494751
1,8.56,13.9065271262079,14.3915414810181
1,8.62,14.006526122801,14.5256519317627
1,8.68,14.1065251193941,14.655590057373
1,8.74,14.2098574158736,14.7998332977295
1,8.8,14.3098564124666,14.9405002593994
1,8.86,14.4098554090597,15.0942802429199
1,8.92,14.5098544056527,15.2552127838135
1,8.98,14.6098534022458,15.416145324707
1,9.04,14.7098523988388,15.5794620513916
1,9.1,14.8098513954319,15.7332420349121
1,9.16,14.909850392025,15.8798694610596
1,9.22,15.009849388618,16.0312652587891
1,9.28,15.1131816850975,16.2065029144287
1,9.34,15.2131806816906,16.3888931274414
1,9.4,15.3131796782836,16.56174659729
1,9.46,15.4131786748767,16.7536735534668
1,9.52,15.5131776714697,16.9754028320313
1,9.58,15.6131766680628,17.2173976898193
1,9.64,15.7131756646559,17.465353012085
1,9.7,15.8131746612489,17.7526473999023
1,9.76,15.913173657842,18.0733203887939
1,9.82,16.0165059543215,18.4750556945801
1,9.88,16.1165049509145,18.9566612243652
1,9.94,16.2165039475076,19.5062160491943
1,10,16.3165029441006,20.1690196990967
1,10.06,16.4165019406937,21.1513042449951
1,10.12,16.5165009372868,22.5389003753662
1,10.18,16.6164999338798,24.2698192596436
1,10.24,16.7164989304729,26.3810157775879
1,10.3,16.8164979270659,28.9404392242432
1,10.36,16.916496923659,31.9480895996094
1,10.42,17.0198292201385,35.5029106140137
1,10.48,17.1198282167315,39.6394729614258
1,10.54,17.2198272133246,44.3267822265625
1,10.6,17.3198262099177,49.5529174804688
1,10.66,17.4198252065107,55.1915168762207
1,10.72,17.5198242031038,61.2020492553711
1,10.78,17.6198231996968,67.3532485961914
1,10.84,17.7198221962899,73.3613967895508
1,10.9,17.819821192883,79.5412063598633
1,10.96,17.9231534893625,86.3409042358398
1,11.02,18.0231524859555,93.6508178710938
1,11.08,18.1231514825486,102.18620300293
1,11.14,18.2231504791416,112.166404724121
1,11.2,18.3231494757347,123.472213745117
1,11.26,18.4231484723277,135.936737060547
1,11.32,18.5231474689208,148.97346496582
1,11.38,18.6231464655139,162.61100769043
1,11.44,18.7231454621069,176.277160644531
1,11.5,18.8231444587,189.332962036133
1,11.56,18.9264767551795,200.24299621582
1,11.62,19.0264757517725,207.347869873047
1,11.68,19.1264747483656,209.274291992188
1,11.74,19.2264737449586,200.119018554688
1,11.8,19.3264727415517,180.473327636719
1,11.86,19.4264717381448,161.428451538086
1,11.92,19.5264707347378,148.887634277344
1,11.98,19.6264697313309,143.78547668457
1,12.04,19.7264687279239,143.604278564453
1,12.1,19.826467724517,144.710540771484
1,12.16,19.9298000209965,147.132873535156
1,12.22,20.0297990175895,152.587890625
1,12.28,20.056465416681,158.195495605469
1,12.34,20.056465416681,156.393051147461
1,12.4,20.056465416681,151.138305664063
1,12.46,19.9897994189523,145.483016967773
1,12.52,19.8964670221321,133.829116821289
1,12.58,19.7964680255391,118.379592895508
1,12.64,19.696469028946,104.141235351563
1,12.7,19.596470032353,92.7543640136719
1,12.76,19.4964710357599,83.7278366088867
1,12.82,19.3964720391668,76.4894485473633
1,12.88,19.2964730425738,70.5766677856445
1,12.94,19.1964740459807,65.5603408813477
1,13,19.0964750493877,61.2783432006836
1,13.06,18.9931427529082,57.4874877929688
1,13.12,18.8931437563151,54.2902946472168
1,13.18,18.7931447597221,51.5174865722656
1,13.24,18.693145763129,49.0069389343262
1,13.3,18.5931467665359,46.6561317443848
1,13.36,18.4931477699429,44.4149971008301
1,13.42,18.3931487733498,42.2120094299316
1,13.48,18.2931497767568,40.0233268737793
1,13.54,18.1931507801637,37.8990173339844
1,13.6,18.0931517835706,35.9392166137695
1,13.66,17.9898194870912,34.1415405273438
1,13.72,17.8898204904981,32.494068145752
1,13.78,17.789821493905,30.8871269226074
1,13.84,17.689822497312,29.2563438415527
1,13.9,17.5898235007189,27.5194644927979
1,13.96,17.4898245041259,25.7492065429688
1,14.02,17.3898255075328,24.0004062652588
1,14.08,17.2898265109397,22.3076343536377
1,14.14,17.1898275143467,20.7114219665527
1,14.2,17.0864952178672,19.2797183990479
1,14.26,16.9864962212741,18.0590152740479
1,14.32,16.8864972246811,17.0707702636719
1,14.38,16.786498228088,16.326904296875
1,14.44,16.686499231495,15.7368183135986
1,14.5,16.5865002349019,15.2218341827393
1,14.56,16.4865012383089,14.7819519042969
1,14.62,16.3865022417158,14.4201517105103
1,14.68,16.2865032451227,14.1197443008423
1,14.74,16.1831709486432,13.8622522354126
1,14.8,16.0831719520502,13.6047601699829
1,14.86,15.9831729554571,13.3776664733887
1,14.92,15.8831739588641,13.1702423095703
1,14.98,15.783174962271,12.9705667495728
1,15.04,15.6831759656779,12.7804279327393
1,15.1,15.5831769690849,12.5950574874878
1,15.16,15.4831779724918,12.4216079711914
1,15.22,15.3831789758988,12.2541189193726
1,15.28,15.2798466794193,12.1027231216431
1,15.34,15.1798476828262,11.9441747665405
1,15.4,15.0798486862332,11.7814540863037
1,15.46,14.9798496896401,11.6163492202759
1,15.52,14.879850693047,11.4649534225464
1,15.58,14.779851696454,11.3183259963989
1,15.64,14.6798526998609,11.1687183380127
1,15.7,14.5798537032679,11.022686958313
1,15.76,14.4798547066748,10.872483253479
1,15.82,14.3798557100818,10.7264518737793
1,15.88,14.2765234136023,10.5822086334229
1,15.94,14.1765244170092,10.446310043335
1,16,14.0765254204161,10.3014707565308
1,16.06,13.9765264238231,10.1661682128906
1,16.12,13.87652742723,10.0183486938477
1,16.18,13.776528430637,9.86993312835693
1,16.24,13.6765294340439,9.73343849182129
1,16.3,13.5765304374509,9.58681106567383
1,16.36,13.4765314408578,9.44674015045166
1,16.42,13.3731991443783,9.31203365325928
1,16.48,13.2732001477852,9.16957855224609
1,16.54,13.1732011511922,9.04262065887451
1,16.6,13.0732021545991,8.90791416168213
1,16.66,12.9732031580061,8.78870487213135
1,16.72,12.873204161413,8.66293907165527
1,16.78,12.77320516482,8.53419303894043
1,16.84,12.6732061682269,8.39293003082275
1,16.9,12.5732071716338,8.2629919052124
1,16.96,12.4698748751543,8.14616680145264
1,17.02,12.3698758785613,8.02099704742432
1,17.08,12.2698768819682,7.86960124969482
1,17.14,12.1698778853752,7.74562358856201
1,17.2,12.0698788887821,7.62641429901123
1,17.26,11.9698798921891,7.515549659729
1,17.32,11.869880895596,7.40468502044678
1,17.38,11.7698818990029,7.28189945220947
1,17.44,11.6698829024099,7.14778900146484
1,17.5,11.5698839058168,7.01606273651123
1,17.56,11.4665516093373,6.89268112182617
1,17.62,11.3665526127443,6.77227973937988
1,17.68,11.2665536161512,6.65128231048584
1,17.74,11.1665546195582,6.52730464935303
1,17.8,11.0665556229651,6.40153884887695
1,17.86,10.966556626372,6.2870979309082
1,17.92,10.866557629779,6.17921352386475
1,17.98,10.7665586331859,6.07907772064209
1,18.04,10.6665596365929,5.97238540649414
1,18.1,10.5632273401134,5.86271286010742
1,18.16,10.4632283435203,5.75780868530273
1,18.22,10.3632293469273,5.65648078918457
1,18.28,10.2632303503342,5.55515289306641
1,18.34,10.1632313537411,5.43892383575439
1,18.4,10.0632323571481,5.34296035766602
1,18.46,9.96323336055502,5.26249408721924
1,18.52,9.86323436396196,5.17666339874268
1,18.58,9.76323536736891,5.0818920135498
1,18.64,9.66323637077585,5.00679016113281
1,18.7,9.55990407429636,4.91142272949219
1,18.76,9.4599050777033,4.82857227325439
1,18.82,9.35990608111024,4.7457218170166
1,18.88,9.25990708451718,4.6771764755249
1,18.94,9.15990808792412,4.5931339263916
1,19,9.05990909133107,4.50193881988525
1,19.06,8.95991009473801,4.4173002243042
1,19.12,8.85991109814495,4.33862209320068
1,19.18,8.75991210155189,4.26530838012695
1,19.24,8.6565798050724,4.20033931732178
1,19.3,8.55658080847934,4.1276216506958
