ééå±âÒêî,éûä‘[sec],à⁄ìÆó [mm],â◊èd[N]
1,0.01,0,-7.15255737304688E-03
1,0.07,0,-7.15255737304688E-03
1,0.13,0,-5.96046447753906E-04
1,0.19,0,5.36441802978516E-03
1,0.25,2.66663990914822E-02,1.78813934326172E-03
1,0.31,0.109998896252364,2.14576721191406E-02
1,0.37,0.209997892845422,4.05311584472656E-02
1,0.43,0.30999688943848,6.79492950439453E-02
1,0.49,0.409995886031538,0.110268592834473
1,0.55,0.509994882624596,0.153183937072754
1,0.61,0.609993879217654,0.206232070922852
1,0.67,0.709992875810713,0.258088111877441
1,0.73,0.809991872403771,0.311136245727539
1,0.79,0.909990868996829,0.358819961547852
1,0.85,1.00998986558989,0.398159027099609
1,0.91,1.10998886218295,0.435709953308105
1,0.97,1.21332115866244,0.480413436889648
1,1.03,1.3133201552555,0.516176223754883
1,1.09,1.41331915184855,0.556707382202148
1,1.15,1.51331814844161,0.594258308410645
1,1.21,1.61331714503467,0.635981559753418
1,1.27,1.71331614162773,0.67293643951416
1,1.33,1.81331513822079,0.724196434020996
1,1.39,1.91331413481385,0.774860382080078
1,1.45,2.0133131314069,0.813603401184082
1,1.51,2.11331212799996,0.861287117004395
1,1.57,2.21331112459302,0.913143157958984
1,1.63,2.31331012118608,0.955462455749512
1,1.69,2.41664241766557,0.98884105682373
1,1.75,2.51664141425863,1.0305643081665
1,1.81,2.61664041085169,1.06155872344971
1,1.87,2.71663940744475,1.09970569610596
1,1.93,2.8166384040378,1.13070011138916
1,1.99,2.91663740063086,1.1754035949707
1,2.05,3.01663639722392,1.21414661407471
1,2.11,3.11663539381698,1.25646591186523
1,2.17,3.21663439041004,1.29759311676025
1,2.23,3.31663338700309,1.33275985717773
1,2.29,3.41663238359615,1.37150287628174
1,2.35,3.51996468007565,1.40130519866943
1,2.41,3.6199636766687,1.43349170684814
1,2.47,3.71996267326176,1.46627426147461
1,2.53,3.81996166985482,1.49846076965332
1,2.59,3.91996066644788,1.53183937072754
1,2.65,4.01995966304094,1.56044960021973
1,2.71,4.11995865963399,1.5944242477417
1,2.77,4.21995765622705,1.62959098815918
1,2.83,4.31995665282011,1.66952610015869
1,2.89,4.41995564941317,1.7082691192627
1,2.95,4.51995464600623,1.75356864929199
1,3.01,4.61995364259928,1.77979469299316
1,3.07,4.71995263919234,1.79409980773926
1,3.13,4.82328493567184,1.82271003723145
1,3.19,4.92328393226489,1.8543004989624
1,3.25,5.02328292885795,1.88529491424561
1,3.31,5.12328192545101,1.93238258361816
1,3.37,5.22328092204407,1.97887420654297
1,3.43,5.32327991863713,2.01761722564697
1,3.49,5.42327891523018,2.05338001251221
1,3.55,5.52327791182324,2.08616256713867
1,3.61,5.6232769084163,2.11536884307861
1,3.67,5.72327590500936,2.15590000152588
1,3.73,5.82327490160242,2.18570232391357
1,3.79,5.92327389819548,2.21490859985352
1,3.85,6.02660619467497,2.23875045776367
1,3.91,6.12660519126803,2.27272510528564
1,3.97,6.22660418786108,2.30371952056885
1,4.03,6.32660318445414,2.34365463256836
1,4.09,6.4266021810472,2.38358974456787
1,4.15,6.52660117764026,2.42352485656738
1,4.21,6.62660017423332,2.44796276092529
1,4.27,6.72659917082638,2.46822834014893
1,4.33,6.82659816741943,2.4878978729248
1,4.39,6.92659716401249,2.51233577728271
1,4.45,7.02659616060555,2.54511833190918
1,4.51,7.12659515719861,2.57968902587891
1,4.57,7.2299274536781,2.61247158050537
1,4.63,7.32992645027116,2.64883041381836
