ééå±âÒêî,éûä‘[sec],à⁄ìÆó [mm],â◊èd[N]
1,0.01,0,1.37090682983398E-02
1,0.07,0,1.13248825073242E-02
1,0.13,0,7.74860382080078E-03
1,0.19,0,2.92062759399414E-02
1,0.25,2.66663990914822E-02,2.92062759399414E-02
1,0.31,0.109998896252364,4.88758087158203E-02
1,0.37,0.209997892845422,9.71555709838867E-02
1,0.43,0.30999688943848,0.156760215759277
1,0.49,0.409995886031538,0.22590160369873
1,0.55,0.509994882624596,0.29146671295166
1,0.61,0.609993879217654,0.35405158996582
1,0.67,0.709992875810713,0.418424606323242
1,0.73,0.809991872403771,0.479221343994141
1,0.79,0.909990868996829,0.541806221008301
1,0.85,1.00998986558989,0.59962272644043
1,0.91,1.10998886218295,0.642538070678711
1,0.97,1.209987858776,0.70035457611084
1,1.03,1.30998685536906,0.744462013244629
1,1.09,1.40998585196212,0.786781311035156
1,1.15,1.50998484855518,0.838041305541992
1,1.21,1.60998384514824,0.908374786376953
1,1.27,1.71331614162773,0.969767570495605
1,1.33,1.81331513822079,1.02460384368896
1,1.39,1.91331413481385,1.06871128082275
1,1.45,2.0133131314069,1.1146068572998
1,1.51,2.11331212799996,1.16825103759766
1,1.57,2.21331112459302,1.21712684631348
1,1.63,2.31331012118608,1.28030776977539
1,1.69,2.41330911777914,1.33812427520752
1,1.75,2.51330811437219,1.38640403747559
1,1.81,2.61330711096525,1.42991542816162
1,1.87,2.71330610755831,1.4728307723999
1,1.93,2.81330510415137,1.52885913848877
1,1.99,2.91330410074443,1.57475471496582
1,2.05,3.01330309733748,1.63793563842773
1,2.11,3.11330209393054,1.68800354003906
1,2.17,3.2133010905236,1.72555446624756
1,2.23,3.31330008711666,1.77919864654541
1,2.29,3.41329908370972,1.83165073394775
1,2.35,3.51329808030277,1.88529491424561
1,2.41,3.61663037678227,1.92999839782715
1,2.47,3.71662937337533,1.97410583496094
1,2.53,3.81662836996838,2.02178955078125
1,2.59,3.91662736656144,2.06291675567627
1,2.65,4.0166263631545,2.1129846572876
1,2.71,4.11662535974756,2.16424465179443
1,2.77,4.21662435634062,2.2047758102417
1,2.83,4.31662335293368,2.2512674331665
1,2.89,4.41662234952673,2.30908393859863
1,2.95,4.51662134611979,2.34305858612061
1,3.01,4.61662034271285,2.38239765167236
1,3.07,4.71661933930591,2.41994857788086
1,3.13,4.81661833589897,2.47180461883545
1,3.19,4.91661733249202,2.52366065979004
1,3.25,5.01661632908508,2.57432460784912
1,3.31,5.11661532567814,2.63452529907227
1,3.37,5.2166143222712,2.6780366897583
1,3.43,5.31661331886426,2.72095203399658
1,3.49,5.41661231545731,2.76625156402588
1,3.55,5.51661131205037,2.80082225799561
1,3.61,5.61994360852987,2.84910202026367
1,3.67,5.71994260512292,2.90036201477051
1,3.73,5.81994160171598,2.95162200927734
1,3.79,5.91994059830904,2.9909610748291
1,3.85,6.0199395949021,3.03208827972412
1,3.91,6.11993859149516,3.06248664855957
1,3.97,6.21993758808821,3.090500831604
1,4.03,6.31993658468127,3.11732292175293
1,4.09,6.41993558127433,3.1590461730957
1,4.15,6.51993457786739,3.19182872772217
1,4.21,6.61993357446045,3.2275915145874
1,4.27,6.7199325710535,3.26871871948242
1,4.33,6.81993156764656,3.32295894622803
1,4.39,6.91993056423962,3.37660312652588
1,4.45,7.01992956083268,3.42130661010742
1,4.51,7.11992855742574,3.45945358276367
1,4.57,7.22326085390523,3.48567962646484
1,4.63,7.32325985049829,3.51905822753906
1,4.69,7.42325884709135,3.54945659637451
1,4.75,7.52325784368441,3.58700752258301
1,4.81,7.62325684027746,3.62992286682129
1,4.87,7.72325583687052,3.66508960723877
1,4.93,7.82325483346358,3.69071960449219
1,4.99,7.92325383005664,3.7229061126709
1,5.05,8.0232528266497,3.76224517822266
1,5.11,8.12325182324276,3.81171703338623
1,5.17,8.22325081983581,3.85522842407227
1,5.23,8.32324981642887,3.88503074645996
1,5.29,8.42324881302193,3.91483306884766
1,5.35,8.52324780961499,3.96370887756348
1,5.41,8.62324680620804,4.0048360824585
1,5.47,8.7232458028011,4.02867794036865
1,5.53,8.82324479939416,4.05251979827881
1,5.59,8.92324379598722,4.08589839935303
1,5.65,9.02657609246671,4.14788722991943
1,5.71,9.12657508905977,4.18901443481445
1,5.77,9.22657408565283,4.23252582550049
1,5.83,9.32657308224589,4.2724609375
1,5.89,9.42657207883894,4.30405139923096
1,5.95,9.526571075432,4.33623790740967
1,6.01,9.62657007202506,4.36127185821533
1,6.07,9.72656906861812,4.38690185546875
1,6.13,9.82656806521118,4.41133975982666
1,6.19,9.92656706180424,4.4560432434082
1,6.25,10.0265660583973,4.49419021606445
1,6.31,10.1265650549904,4.53293323516846
1,6.37,10.2265640515834,4.56809997558594
1,6.43,10.3265630481765,4.60386276245117
1,6.49,10.4265620447695,4.63962554931641
1,6.55,10.5265610413626,4.66704368591309
1,6.61,10.6265600379556,4.69446182250977
1,6.67,10.7265590345487,4.73320484161377
1,6.73,10.8265580311418,4.75585460662842
1,6.79,10.9298903276213,4.77910041809082
1,6.85,11.0298893242143,4.80711460113525
1,6.91,11.1298883208074,4.83095645904541
1,6.97,11.2298873174004,4.85122203826904
1,7.03,11.3298863139935,4.87685203552246
1,7.09,11.4298853105865,4.91440296173096
1,7.15,11.5298843071796,4.95195388793945
1,7.21,11.6298833037727,4.98056411743164
1,7.27,11.7298823003657,5.00261783599854
1,7.33,11.8298812969588,5.02586364746094
1,7.39,11.9298802935518,5.04612922668457
1,7.45,12.0298792901449,5.07652759552002
1,7.51,12.1298782867379,5.11586666107178
1,7.57,12.229877283331,5.15460968017578
1,7.63,12.3298762799241,5.19216060638428
1,7.69,12.4298752765171,5.23209571838379
1,7.75,12.5298742731102,5.26487827301025
1,7.81,12.6298732697032,5.29587268829346
1,7.87,12.7332055661827,5.32150268554688
1,7.93,12.8332045627758,5.35726547241211
1,7.99,12.9332035593688,5.39481639862061
1,8.05,13.0332025559619,5.42998313903809
