ééå±âÒêî,éûä‘[sec],à⁄ìÆó [mm],â◊èd[N]
1,0.02,0,-3.51667404174805E-02
1,0.08,0,-3.51667404174805E-02
1,0.14,0,-3.33786010742188E-02
1,0.2,0,-4.70876693725586E-02
1,0.26,0.036666298750788,-4.64916229248047E-02
1,0.32,0.12666539568454,1.96695327758789E-02
1,0.38,0.226664392277598,0.147223472595215
1,0.44,0.326663388870657,0.289678573608398
1,0.5,0.426662385463715,0.408291816711426
1,0.56,0.526661382056773,0.514984130859375
1,0.62,0.626660378649831,0.621676445007324
1,0.68,0.726659375242889,0.739097595214844
1,0.74,0.826658371835947,0.846982002258301
1,0.8,0.926657368429005,0.949501991271973
1,0.86,1.02665636502206,1.04784965515137
1,0.92,1.12665536161512,1.14679336547852
1,0.98,1.22998765809461,1.24990940093994
1,1.04,1.32998665468767,1.36375427246094
1,1.1,1.42998565128073,1.48355960845947
1,1.16,1.52998464787379,1.59323215484619
1,1.22,1.62998364446685,1.70648097991943
1,1.28,1.72998264105991,1.79529190063477
1,1.34,1.82998163765296,1.89781188964844
1,1.4,1.92998063424602,2.00629234313965
1,1.46,2.02997963083908,2.12192535400391
1,1.52,2.12997862743214,2.21967697143555
1,1.58,2.2299776240252,2.31623649597168
1,1.64,2.32997662061825,2.41279602050781
1,1.7,2.42997561721131,2.50935554504395
1,1.76,2.53330791369081,2.61306762695313
1,1.82,2.63330691028386,2.71260738372803
1,1.88,2.73330590687692,2.79843807220459
1,1.94,2.83330490346998,2.88486480712891
1,2,2.93330390006304,2.98142433166504
1,2.06,3.0333028966561,3.0827522277832
1,2.12,3.13330189324915,3.20374965667725
1,2.18,3.23330088984221,3.29911708831787
1,2.24,3.33329988643527,3.39329242706299
1,2.3,3.43329888302833,3.49938869476318
1,2.36,3.53329787962139,3.60250473022461
1,2.42,3.63329687621445,3.70562076568604
1,2.48,3.73662917269394,3.80992889404297
1,2.54,3.836628169287,3.9064884185791
1,2.6,3.93662716588005,4.00662422180176
1,2.66,4.03662616247311,4.11927700042725
1,2.72,4.13662515906617,4.20987606048584
1,2.78,4.23662415565923,4.311203956604
1,2.84,4.33662315225229,4.40597534179688
1,2.9,4.43662214884534,4.50432300567627
1,2.96,4.5366211454384,4.59969043731689
1,3.02,4.63662014203146,4.70638275146484
1,3.08,4.73661913862452,4.81963157653809
1,3.14,4.83661813521758,4.92453575134277
1,3.2,4.93995043169707,5.03063201904297
1,3.26,5.03994942829013,5.12003898620605
1,3.32,5.13994842488319,5.21004199981689
1,3.38,5.23994742147625,5.28991222381592
1,3.44,5.3399464180693,5.38825988769531
1,3.5,5.43994541466236,5.49912452697754
1,3.56,5.53994441125542,5.60760498046875
1,3.62,5.63994340784848,5.70893287658691
1,3.68,5.73994240444154,5.81502914428711
1,3.74,5.83994140103459,5.9211254119873
1,3.8,5.93994039762765,6.03258609771729
1,3.86,6.03993939422071,6.14762306213379
1,3.92,6.13993839081377,6.25908374786377
1,3.98,6.24327068729326,6.35206699371338
1,4.04,6.34326968388632,6.46591186523438
1,4.1,6.44326868047938,6.58273696899414
1,4.16,6.54326767707244,6.69360160827637
1,4.22,6.64326667366549,6.81817531585693
1,4.28,6.74326567025855,6.94394111633301
1,4.34,6.84326466685161,7.06374645233154
1,4.4,6.94326366344467,7.18355178833008
1,4.46,7.04326266003773,7.30812549591064
1,4.52,7.14326165663078,7.44104385375977
1,4.58,7.24326065322384,7.56740570068359
1,4.64,7.34659294970334,7.69853591918945
1,4.7,7.44659194629639,7.8427791595459
1,4.76,7.54659094288945,7.96794891357422
1,4.82,7.64658993948251,8.10325145721436
1,4.88,7.74658893607557,8.24689865112305
1,4.94,7.84658793266863,8.392333984375
1,5,7.94658692926169,8.5526704788208
1,5.06,8.04658592585474,8.67903232574463
1,5.12,8.1465849224478,8.80539417266846
1,5.18,8.24658391904086,8.93056392669678
1,5.24,8.34658291563392,9.06229019165039
1,5.3,8.44658191222698,9.20236110687256
1,5.36,8.54991420870647,9.34898853302002
1,5.42,8.64991320529953,9.46760177612305
1,5.48,8.74991220189258,9.60469245910645
1,5.54,8.84991119848564,9.74595546722412
1,5.6,8.9499101950787,9.87231731414795
1,5.66,9.04990919167176,9.9945068359375
1,5.72,9.14990818826482,10.1310014724731
1,5.78,9.24990718485788,10.2609395980835
1,5.84,9.34990618145093,10.4153156280518
1,5.9,9.44990517804399,10.5506181716919
1,5.96,9.54990417463705,10.6805562973022
1,6.02,9.64990317123011,10.8093023300171
1,6.08,9.74990216782317,10.9332799911499
1,6.14,9.85323446430266,11.0477209091187
1,6.2,9.95323346089572,11.1675262451172
1,6.26,10.0532324574888,11.3099813461304
1,6.32,10.1532314540818,11.4548206329346
