direction,condition_index,xstar,test_id,trial_in_condition,L0_mm,Area_mm2,E_MPa,n_points_fit
X,1,5.0,1,1,15.0,1800.0,0.2578108166386477,27
X,1,5.0,2,2,15.0,1800.0,0.264948336464274,26
X,1,5.0,3,3,15.0,1800.0,0.27861864099044437,26
X,2,10.0,4,1,30.0,1800.0,0.01339605830215587,104
X,2,10.0,5,2,30.0,1800.0,0.013805468489108439,104
X,2,10.0,6,3,30.0,1800.0,0.013960298668911054,104
X,3,15.0,7,1,45.0,1800.0,0.011182134767997303,154
X,3,15.0,8,2,45.0,1800.0,0.011797893046164458,154
X,3,15.0,9,3,45.0,1800.0,0.011532240140387985,154
X,4,20.0,10,1,60.0,1800.0,0.009550381247092154,229
X,4,20.0,11,2,60.0,1800.0,0.009866312697613573,228
X,4,20.0,12,3,60.0,1800.0,0.010074301868221823,229
