direction,condition_index,xstar,test_id,trial_in_condition,L0_mm,Area_mm2,E_MPa,n_points_fit
Y,1,5.0,1,1,30.0,900.0,0.029917164112983466,99
Y,1,5.0,2,2,30.0,900.0,0.03202076736325272,104
Y,1,5.0,3,3,30.0,900.0,0.03108090003351727,104
Y,2,10.0,4,1,30.0,1800.0,0.014258106672981911,104
Y,2,10.0,5,2,30.0,1800.0,0.01453626033604882,104
Y,2,10.0,6,3,30.0,1800.0,0.0134263225185774,104
Y,3,15.0,7,1,30.0,2700.0,0.00933750666696521,104
Y,3,15.0,8,2,30.0,2700.0,0.009180393640653586,104
Y,3,15.0,9,3,30.0,2700.0,0.009173660842730233,103
Y,4,20.0,10,1,30.0,3600.0,0.005724566653519175,104
Y,4,20.0,11,2,30.0,3600.0,0.005758295799179486,102
Y,4,20.0,12,3,30.0,3600.0,0.0059673034326738735,104
