direction,condition_index,xstar,test_id,trial_in_condition,L0_mm,Area_mm2,E_MPa,n_points_fit
Z,1,5.0,1,1,60.0,450.0,4.111602591697283,16
Z,1,5.0,2,2,60.0,450.0,4.071976056476144,16
Z,1,5.0,3,3,60.0,450.0,3.820651403848558,15
Z,2,10.0,4,1,60.0,900.0,1.1665612394450235,21
Z,2,10.0,5,2,60.0,900.0,1.1477893331364626,23
Z,2,10.0,6,3,60.0,900.0,1.1812311493910683,19
Z,3,15.0,7,1,60.0,1350.0,0.17822795824051788,79
Z,3,15.0,8,2,60.0,1350.0,0.18652565982061073,77
Z,3,15.0,9,3,60.0,1350.0,0.15675676727289117,79
Z,4,20.0,10,1,60.0,1800.0,0.05557347265855946,79
Z,4,20.0,11,2,60.0,1800.0,0.06021763556401494,79
Z,4,20.0,12,3,60.0,1800.0,0.06386087807711346,79
