row,direction,sweep_label,sweep_value,condition_index,test_id,trial_in_condition,xstar,ystar,zstar,X_mm,Y_mm,Z_mm,L0_mm,Area_mm2,E_MPa,n_points_fit
Px,X,p,1.5,1,1,1,15.0,10.0,30.0,45.0,30.0,60.0,45.0,1800.0,0.002078509937963807,154
Px,X,p,1.5,1,2,2,15.0,10.0,30.0,45.0,30.0,60.0,45.0,1800.0,0.002238348987327207,154
Px,X,p,1.5,1,3,3,15.0,10.0,30.0,45.0,30.0,60.0,45.0,1800.0,0.0020612576850994875,154
Px,X,p,2.0,2,4,1,15.0,10.0,30.0,45.0,30.0,60.0,45.0,1800.0,0.006869072720441249,154
Px,X,p,2.0,2,5,2,15.0,10.0,30.0,45.0,30.0,60.0,45.0,1800.0,0.006725418636750827,154
Px,X,p,2.0,2,6,3,15.0,10.0,30.0,45.0,30.0,60.0,45.0,1800.0,0.006947504441032504,154
Px,X,p,2.5,3,7,1,15.0,10.0,30.0,45.0,30.0,60.0,45.0,1800.0,0.023491475514428248,154
Px,X,p,2.5,3,8,2,15.0,10.0,30.0,45.0,30.0,60.0,45.0,1800.0,0.024145425181627482,154
Px,X,p,2.5,3,9,3,15.0,10.0,30.0,45.0,30.0,60.0,45.0,1800.0,0.02512477904494198,154
Px,X,p,3.0,4,10,1,15.0,10.0,30.0,45.0,30.0,60.0,45.0,1800.0,0.06219802668278614,144
Px,X,p,3.0,4,11,2,15.0,10.0,30.0,45.0,30.0,60.0,45.0,1800.0,0.05644419559247479,144
Px,X,p,3.0,4,12,3,15.0,10.0,30.0,45.0,30.0,60.0,45.0,1800.0,0.0589143914224802,144
