row,direction,sweep_label,sweep_value,condition_index,test_id,trial_in_condition,xstar,ystar,zstar,X_mm,Y_mm,Z_mm,L0_mm,Area_mm2,E_MPa,n_points_fit
Py,Y,p,1.5,1,1,1,15.0,10.0,30.0,45.0,30.0,60.0,30.0,2700.0,0.002785760487859736,105
Py,Y,p,1.5,1,2,2,15.0,10.0,30.0,45.0,30.0,60.0,30.0,2700.0,0.0026325278429674167,104
Py,Y,p,1.5,1,3,3,15.0,10.0,30.0,45.0,30.0,60.0,30.0,2700.0,0.0025631626135863084,104
Py,Y,p,2.0,2,4,1,15.0,10.0,30.0,45.0,30.0,60.0,30.0,2700.0,0.006741716709673314,104
Py,Y,p,2.0,2,5,2,15.0,10.0,30.0,45.0,30.0,60.0,30.0,2700.0,0.006644729375230503,104
Py,Y,p,2.0,2,6,3,15.0,10.0,30.0,45.0,30.0,60.0,30.0,2700.0,0.006841935309064837,104
Py,Y,p,2.5,3,7,1,15.0,10.0,30.0,45.0,30.0,60.0,30.0,2700.0,0.023014168719994444,88
Py,Y,p,2.5,3,8,2,15.0,10.0,30.0,45.0,30.0,60.0,30.0,2700.0,0.02225834586658413,86
Py,Y,p,2.5,3,9,3,15.0,10.0,30.0,45.0,30.0,60.0,30.0,2700.0,0.02144319978563753,87
Py,Y,p,3.0,4,10,1,15.0,10.0,30.0,45.0,30.0,60.0,30.0,2700.0,0.06439234249817252,72
Py,Y,p,3.0,4,11,2,15.0,10.0,30.0,45.0,30.0,60.0,30.0,2700.0,0.06655614565399062,72
Py,Y,p,3.0,4,12,3,15.0,10.0,30.0,45.0,30.0,60.0,30.0,2700.0,0.06397370184538899,72
