row,direction,sweep_label,sweep_value,condition_index,test_id,trial_in_condition,xstar,ystar,zstar,X_mm,Y_mm,Z_mm,L0_mm,Area_mm2,E_MPa,n_points_fit
Yy,Y,y*,5.0,1,1,1,15.0,5.0,30.0,45.0,15.0,60.0,15.0,2700.0,0.07385916325507798,27
Yy,Y,y*,5.0,1,2,2,15.0,5.0,30.0,45.0,15.0,60.0,15.0,2700.0,0.07595431448256523,25
Yy,Y,y*,5.0,1,3,3,15.0,5.0,30.0,45.0,15.0,60.0,15.0,2700.0,0.07682478979779223,25
Yy,Y,y*,10.0,2,4,1,15.0,10.0,30.0,45.0,30.0,60.0,30.0,2700.0,0.005878098493949993,104
Yy,Y,y*,10.0,2,5,2,15.0,10.0,30.0,45.0,30.0,60.0,30.0,2700.0,0.005905964801902379,104
Yy,Y,y*,10.0,2,6,3,15.0,10.0,30.0,45.0,30.0,60.0,30.0,2700.0,0.0059954854686028606,101
Yy,Y,y*,15.0,3,7,1,15.0,15.0,30.0,45.0,45.0,60.0,45.0,2700.0,0.0049242014569395075,154
Yy,Y,y*,15.0,3,8,2,15.0,15.0,30.0,45.0,45.0,60.0,45.0,2700.0,0.005045784811121099,154
Yy,Y,y*,15.0,3,9,3,15.0,15.0,30.0,45.0,45.0,60.0,45.0,2700.0,0.004532490158153905,154
Yy,Y,y*,20.0,4,10,1,15.0,20.0,30.0,45.0,60.0,60.0,60.0,2700.0,0.004260151756165695,229
Yy,Y,y*,20.0,4,11,2,15.0,20.0,30.0,45.0,60.0,60.0,60.0,2700.0,0.004584506482194996,229
Yy,Y,y*,20.0,4,12,3,15.0,20.0,30.0,45.0,60.0,60.0,60.0,2700.0,0.004502608072451044,229
