row,direction,sweep_label,sweep_value,condition_index,test_id,trial_in_condition,xstar,ystar,zstar,X_mm,Y_mm,Z_mm,L0_mm,Area_mm2,E_MPa,n_points_fit
Zx,X,z*,25.0,1,1,1,15.0,10.0,25.0,45.0,30.0,50.0,45.0,1500.0,0.013156354346545914,154
Zx,X,z*,25.0,1,2,2,15.0,10.0,25.0,45.0,30.0,50.0,45.0,1500.0,0.013501650219929707,154
Zx,X,z*,25.0,1,3,3,15.0,10.0,25.0,45.0,30.0,50.0,45.0,1500.0,0.01314769206853302,154
Zx,X,z*,30.0,2,4,1,15.0,10.0,30.0,45.0,30.0,60.0,45.0,1800.0,0.007035838584238035,154
Zx,X,z*,30.0,2,5,2,15.0,10.0,30.0,45.0,30.0,60.0,45.0,1800.0,0.006818348384544324,154
Zx,X,z*,30.0,2,6,3,15.0,10.0,30.0,45.0,30.0,60.0,45.0,1800.0,0.007023868561671954,154
Zx,X,z*,35.0,3,7,1,15.0,10.0,35.0,45.0,30.0,70.0,45.0,2100.0,0.004245394508569977,154
Zx,X,z*,35.0,3,8,2,15.0,10.0,35.0,45.0,30.0,70.0,45.0,2100.0,0.004310158000362669,154
Zx,X,z*,35.0,3,9,3,15.0,10.0,35.0,45.0,30.0,70.0,45.0,2100.0,0.004100576641799833,154
Zx,X,z*,40.0,4,10,1,15.0,10.0,40.0,45.0,30.0,80.0,45.0,2400.0,0.0024487168745416753,154
Zx,X,z*,40.0,4,11,2,15.0,10.0,40.0,45.0,30.0,80.0,45.0,2400.0,0.0026036157100565054,154
Zx,X,z*,40.0,4,12,3,15.0,10.0,40.0,45.0,30.0,80.0,45.0,2400.0,0.0026202166441450436,154
