row,direction,sweep_label,sweep_value,condition_index,test_id,trial_in_condition,xstar,ystar,zstar,X_mm,Y_mm,Z_mm,L0_mm,Area_mm2,E_MPa,n_points_fit
Zy,Y,z*,25.0,1,1,1,15.0,10.0,25.0,45.0,30.0,50.0,30.0,2250.0,0.01423434301107054,104
Zy,Y,z*,25.0,1,2,2,15.0,10.0,25.0,45.0,30.0,50.0,30.0,2250.0,0.014228841190963924,104
Zy,Y,z*,25.0,1,3,3,15.0,10.0,25.0,45.0,30.0,50.0,30.0,2250.0,0.013767975430097067,104
Zy,Y,z*,30.0,2,4,1,15.0,10.0,30.0,45.0,30.0,60.0,30.0,2700.0,0.006966058202825582,104
Zy,Y,z*,30.0,2,5,2,15.0,10.0,30.0,45.0,30.0,60.0,30.0,2700.0,0.0067835184006081765,104
Zy,Y,z*,30.0,2,6,3,15.0,10.0,30.0,45.0,30.0,60.0,30.0,2700.0,0.00705842179067617,104
Zy,Y,z*,35.0,3,7,1,15.0,10.0,35.0,45.0,30.0,70.0,30.0,3150.0,0.004888689582864129,104
Zy,Y,z*,35.0,3,8,2,15.0,10.0,35.0,45.0,30.0,70.0,30.0,3150.0,0.004678156361423263,104
Zy,Y,z*,35.0,3,9,3,15.0,10.0,35.0,45.0,30.0,70.0,30.0,3150.0,0.005139781186315382,104
Zy,Y,z*,40.0,4,10,1,15.0,10.0,40.0,45.0,30.0,80.0,30.0,3600.0,0.003703482349973395,104
Zy,Y,z*,40.0,4,11,2,15.0,10.0,40.0,45.0,30.0,80.0,30.0,3600.0,0.0034934443026158114,104
Zy,Y,z*,40.0,4,12,3,15.0,10.0,40.0,45.0,30.0,80.0,30.0,3600.0,0.0037249031480552607,103
