ééå±âÒêî,éûä‘[sec],à⁄ìÆó [mm],â◊èd[N]
1,0.03,0,6.02006912231445E-02
1,0.09,0,5.78165054321289E-02
1,0.15,0,5.54323196411133E-02
1,0.21,0,5.78165054321289E-02
1,0.27,5.99993979558349E-02,5.84125518798828E-02
1,0.33,0.253330791369081,6.25848770141602E-02
1,0.39,0.533327981829643,0.063776969909668
1,0.45,0.829991671722382,5.90085983276367E-02
1,0.51,1.12998866150156,5.42402267456055E-02
1,0.57,1.42998565128073,5.30481338500977E-02
1,0.63,1.72998264105991,5.78165054321289E-02
1,0.69,2.02997963083908,4.17232513427734E-02
1,0.75,2.32997662061825,4.11272048950195E-02
1,0.81,2.62664031051099,5.48362731933594E-02
1,0.87,2.9299706001766,6.91413879394531E-02
1,0.93,3.22996758995578,0.11444091796875
1,0.99,3.52996457973495,0.198483467102051
1,1.05,3.82996156951413,0.372529029846191
1,1.11,4.12662525940686,0.566840171813965
1,1.17,4.42662224918604,0.756382942199707
1,1.23,4.72995253885165,0.913739204406738
1,1.29,5.02994952863082,1.07228755950928
1,1.35,5.32994651841,1.23858451843262
1,1.41,5.62994350818917,1.38759613037109
1,1.47,5.92994049796835,1.54614448547363
1,1.53,6.22993748774752,1.70350074768066
1,1.59,6.52993447752669,1.84834003448486
1,1.65,6.82993146730587,1.99735164642334
1,1.71,7.12992845708504,2.14040279388428
1,1.77,7.42992544686422,2.27510929107666
1,1.83,7.72992243664339,2.40504741668701
1,1.89,8.02991942642257,2.52485275268555
1,1.95,8.32991641620174,2.66075134277344
1,2.01,8.62991340598091,2.78711318969727
1,2.07,8.92991039576009,2.90155410766602
1,2.13,9.22990738553927,3.04222106933594
1,2.19,9.52990437531844,3.15606594085693
1,2.25,9.82990136509761,3.26454639434814
1,2.31,10.1298983548768,3.37362289428711
1,2.37,10.429895344656,3.47435474395752
1,2.43,10.7298923344351,3.58641147613525
1,2.49,11.0298893242143,3.67403030395508
1,2.55,11.3298863139935,3.76105308532715
1,2.61,11.6298833037727,3.84926795959473
1,2.67,11.9298802935518,3.9374828338623
1,2.73,12.229877283331,4.0203332901001
1,2.79,12.5298742731102,4.11152839660645
1,2.85,12.8298712628894,4.24385070800781
1,2.91,13.1298682526685,4.38272953033447
1,2.97,13.4298652424477,4.53650951385498
1,3.03,13.7298622322269,4.68432903289795
1,3.09,14.0298592220061,4.83095645904541
1,3.15,14.3298562117852,4.96804714202881
1,3.21,14.6298532015644,5.11586666107178
1,3.27,14.9298501913436,5.2952766418457
1,3.33,15.2298471811228,5.46574592590332
1,3.39,15.5298441709019,5.61892986297607
1,3.45,15.8298411606811,5.77747821807861
1,3.51,16.1298381504603,5.95271587371826
1,3.57,16.4298351402394,6.14166259765625
1,3.63,16.7298321300186,6.34253025054932
1,3.69,17.0298291197978,6.53922557830811
1,3.75,17.329826109577,6.75082206726074
1,3.81,17.6298230993561,6.95288181304932
1,3.87,17.9298200891353,7.15196132659912
1,3.93,18.2298170789145,7.35282897949219
1,3.99,18.5298140686937,7.5453519821167
1,4.05,18.8298110584728,7.74264335632324
1,4.11,19.129808048252,7.94351100921631
1,4.17,19.4298050380312,8.15808773040771
1,4.23,19.7298020278104,8.37266445159912
1,4.29,20.0297990175895,8.59677791595459
1,4.35,20.3297960073687,8.81850719451904
1,4.41,20.6297929971479,9.04619693756104
1,4.47,20.9297899869271,9.2846155166626
1,4.53,21.2297869767062,9.50336456298828
1,4.59,21.5297839664854,9.69588756561279
1,4.65,21.8297809562646,9.88960266113281
1,4.71,22.1297779460438,10.111927986145
1,4.77,22.4297749358229,10.3288888931274
1,4.83,22.7297719256021,10.5541944503784
1,4.89,23.0297689153813,10.7818841934204
1,4.95,23.3297659051605,11.0059976577759
1,5.01,23.6297628949396,11.2193822860718
1,5.07,23.9297598847188,11.4291906356812
1,5.13,24.229756874498,11.6610527038574
1,5.19,24.5297538642772,11.9179487228394
1,5.25,24.8297508540563,12.2135877609253
1,5.31,25.1297478438355,12.5718116760254
1,5.37,25.4297448336147,13.0099058151245
1,5.43,25.7297418233939,13.6089324951172
1,5.49,26.029738813173,14.498233795166
1,5.55,26.3297358029522,15.7392024993896
1,5.61,26.6297327927314,17.4558162689209
1,5.67,26.9297297825105,20.0557708740234
1,5.73,27.2297267722897,23.8490104675293
1,5.79,27.5297237620689,29.1776657104492
1,5.85,27.8297207518481,36.3898277282715
1,5.91,28.1297177416272,45.5451011657715
1,5.97,28.4297147314064,56.6267967224121
1,6.03,28.7297117211856,69.3464279174805
1,6.09,28.9563761134632,81.5868377685547
1,6.15,28.9563761134632,85.5302810668945
1,6.21,28.9563761134632,81.4008712768555
1,6.27,28.9297097143717,76.2224197387695
1,6.33,28.7830445193686,69.6897506713867
1,6.39,28.5230471282266,57.2514533996582
1,6.45,28.2297167382203,42.4480438232422
1,6.51,27.9297197484411,30.9038162231445
1,6.57,27.629722758662,23.3888626098633
1,6.63,27.3297257688828,18.4345245361328
1,6.69,27.0297287791036,15.2063369750977
1,6.75,26.7297317893244,13.2226943969727
1,6.81,26.4297347995453,11.9954347610474
