ééå±âÒêî,éûä‘[sec],à⁄ìÆó [mm],â◊èd[N]
1,0.01,0,-9.5367431640625E-03
1,0.07,0,-1.78813934326172E-03
1,0.13,0,-1.43051147460938E-02
1,0.19,0,-3.63588333129883E-02
1,0.25,2.66663990914822E-02,-4.70876693725586E-02
1,0.31,0.173331594094634,-5.96046447753906E-04
1,0.37,0.433328985236585,0.192523002624512
1,0.43,0.726659375242889,0.507831573486328
1,0.49,1.02665636502206,0.866055488586426
1,0.55,1.32665335480124,1.20043754577637
1,0.61,1.62665034458041,1.53005123138428
1,0.67,1.92664733435959,1.87516212463379
1,0.73,2.22664432413876,2.23398208618164
1,0.79,2.52664131391793,2.59280204772949
1,0.85,2.82663830369711,2.94983386993408
1,0.91,3.12663529347628,3.30984592437744
1,0.97,3.42663228325546,3.65316867828369
1,1.03,3.72662927303463,4.00006771087646
1,1.09,4.02662626281381,4.34041023254395
1,1.15,4.32662325259298,4.69207763671875
1,1.21,4.62662024237216,5.04016876220703
1,1.27,4.92661723215133,5.40435314178467
1,1.33,5.2266142219305,5.77211380004883
1,1.39,5.52661121170968,6.13391399383545
1,1.45,5.82660820148885,6.51240348815918
1,1.51,6.12660519126803,6.88731670379639
1,1.57,6.42993548093364,7.26461410522461
1,1.63,6.72993247071281,7.65562057495117
1,1.69,7.02992946049199,8.03530216217041
1,1.75,7.32992645027116,8.41498374938965
1,1.81,7.62992344005033,8.79943370819092
1,1.87,7.92992042982951,9.19640064239502
1,1.93,8.22991741960868,9.60648059844971
1,1.99,8.52991440938786,10.0213289260864
1,2.05,8.82991139916703,10.4361772537231
1,2.11,9.12990838894621,10.8665227890015
1,2.17,9.42990537872538,11.3165378570557
1,2.23,9.72990236850456,11.7868185043335
1,2.29,10.0298993582837,12.2421979904175
1,2.35,10.3298963480629,12.7130746841431
1,2.41,10.6298933378421,13.1988525390625
1,2.47,10.9298903276213,13.7007236480713
1,2.53,11.2298873174004,14.2145156860352
1,2.59,11.5298843071796,14.7378444671631
1,2.65,11.8298812969588,15.2683258056641
1,2.71,12.1298782867379,15.8095359802246
1,2.77,12.4298752765171,16.3674354553223
1,2.83,12.7298722662963,16.9622898101807
1,2.89,13.0298692560755,17.545223236084
1,2.95,13.3298662458546,18.1615352630615
1,3.01,13.6298632356338,18.7885761260986
1,3.07,13.929860225413,19.4287300109863
1,3.13,14.2298572151922,20.0927257537842
1,3.19,14.5298542049713,20.7602977752686
1,3.25,14.8298511947505,21.4385986328125
1,3.31,15.1298481845297,22.127628326416
1,3.37,15.3098463783972,22.7904319763184
1,3.43,15.3098463783972,22.9382514953613
1,3.49,15.3098463783972,22.6044654846191
1,3.55,15.2665134798735,22.1896171569824
1,3.61,15.0965151856653,21.6615200042725
1,3.67,14.8265178948641,20.8103656768799
1,3.73,14.5298542049713,19.6492671966553
1,3.79,14.2298572151922,18.4667110443115
1,3.85,13.929860225413,17.3854827880859
1,3.91,13.6298632356338,16.4163112640381
1,3.97,13.3298662458546,15.5270099639893
1,4.03,13.0298692560755,14.6925449371338
1,4.09,12.7298722662963,13.9272212982178
1,4.15,12.4298752765171,13.20481300354
