file,stem,prefix,sample_type,mode,condition,specimen,speed_mm_min,loop_ok,gap_x0_mm,eps_max,peak_stress_MPa,energy_loss_density_MJ_m3,modulus_MPa,modulus_type
TT_0123_1729.csv,TT_0123_1729,TT,TENDON,tension,A,1,300,True,0.0,0.2590450197458268,0.27097001367685714,0.00793691254529965,1.301495339801278,loading_0-0.5eps_at_sigmax
TT_0123_1729.csv,TT_0123_1729,TT,TENDON,tension,A,1,150,True,0.0,0.2570212305290625,0.28127310227374613,0.008696981437295626,1.2708866981332172,loading_0-0.5eps_at_sigmax
TT_0123_1729.csv,TT_0123_1729,TT,TENDON,tension,A,1,50,True,0.0,0.25059272360522283,0.26277133396693625,0.008365838084895917,1.1836112692199292,loading_0-0.5eps_at_sigmax
TT_0123_1729.csv,TT_0123_1729,TT,TENDON,tension,A,2,300,True,0.0,0.25916406617034216,0.2552538501973061,0.009887198115681886,1.3487433629135894,loading_0-0.5eps_at_sigmax
TT_0123_1729.csv,TT_0123_1729,TT,TENDON,tension,A,2,150,True,0.0,0.2571402769535779,0.27669935810322704,0.009855357158956895,1.3179406074215143,loading_0-0.5eps_at_sigmax
TT_0123_1729.csv,TT_0123_1729,TT,TENDON,tension,A,2,50,True,0.0,0.2508308164542539,0.264778429148148,0.009177884346596287,1.2197678584887122,loading_0-0.5eps_at_sigmax
TT_0123_1729.csv,TT_0123_1729,TT,TENDON,tension,A,3,300,True,0.0,0.2590450197458268,0.24074194382648087,0.009515766867969502,1.2175195346403775,loading_0-0.5eps_at_sigmax
TT_0123_1729.csv,TT_0123_1729,TT,TENDON,tension,A,3,150,True,0.0,0.2571402769535779,0.27257568982182784,0.009787438539618307,1.3069259344180626,loading_0-0.5eps_at_sigmax
TT_0123_1729.csv,TT_0123_1729,TT,TENDON,tension,A,3,50,True,0.0,0.25059272360522283,0.26240640757035205,0.008862010729884504,1.2066976645766743,loading_0-0.5eps_at_sigmax
TT_0123_1729.csv,TT_0123_1729,TT,TENDON,tension,B,1,300,True,0.0,0.25916406617034216,0.2665544042781913,0.008727443797022196,1.3219168899160654,loading_0-0.5eps_at_sigmax
TT_0123_1729.csv,TT_0123_1729,TT,TENDON,tension,B,1,150,True,0.0,0.2571402769535779,0.27211344971948725,0.009122287164198035,1.283792747378571,loading_0-0.5eps_at_sigmax
TT_0123_1729.csv,TT_0123_1729,TT,TENDON,tension,B,1,50,True,0.0,0.25059272360522283,0.2484905476472819,0.008308423710366945,1.1805996816215425,loading_0-0.5eps_at_sigmax
TT_0123_1729.csv,TT_0123_1729,TT,TENDON,tension,B,2,300,True,0.0,0.25916406617034216,0.2573947517239324,0.007251686346662135,1.15721798483373,loading_0-0.5eps_at_sigmax
TT_0123_1729.csv,TT_0123_1729,TT,TENDON,tension,B,2,150,True,0.0,0.2572593233780936,0.26219961594562113,0.007845550988989864,1.116207508061903,loading_0-0.5eps_at_sigmax
TT_0123_1729.csv,TT_0123_1729,TT,TENDON,tension,B,2,50,True,0.0,0.2508308164542539,0.24114336286272323,0.007364873712719482,1.0295797082747409,loading_0-0.5eps_at_sigmax
TT_0123_1729.csv,TT_0123_1729,TT,TENDON,tension,B,3,300,True,0.0,0.25916406617034216,0.28572520431207143,0.008392166237493092,1.4107873274062022,loading_0-0.5eps_at_sigmax
TT_0123_1729.csv,TT_0123_1729,TT,TENDON,tension,B,3,150,True,0.0,0.25749741622712463,0.2927074627000459,0.008924110542176986,1.3598155919726824,loading_0-0.5eps_at_sigmax
TT_0123_1729.csv,TT_0123_1729,TT,TENDON,tension,B,3,50,True,0.0,0.25094986287876964,0.27308658677704467,0.008222856117033186,1.251246043171001,loading_0-0.5eps_at_sigmax
